position,ppr_points,var,moving_avg,up_vol,down_vol,hv_plays,hv_points,ou,def_rk,attempts,conv_rate,ay_att,yac_att,yds_route
WR,12.30,0.89,2.98,2.29,0.30,0,0,46,17,6,1.00,1.28,0.47,1.75
TE,1.60,0.55,8.70,1.73,0.30,0,0,46,17,1,1.00,5.00,1.00,6.00
TE,2.60,0.69,2.24,2.18,0.52,0,0,46,30,1,1.00,3.00,13.00,16.00
TE,19.10,0.54,12.14,1.72,0.33,2,13.70,38.5,6,9,0.56,0.48,0.90,1.38
WR,8.00,0.77,7.84,2.30,0.27,1,3.40,38.5,23,6,0.50,1.17,0.78,1.95
TE,2.70,0.62,3.74,1.99,0.39,0,0,38.5,23,2,0.50,1.25,3.50,4.75
TE,36.90,1.34,6.12,4.39,0.26,4,32.10,38.5,23,8,0.88,1.45,0.52,1.97
WR,1.30,0.36,2.18,1.54,0.70,0,0,38.5,23,1,1.00,2.00,1.00,3.00
WR,11.60,0.54,9.38,1.93,0.49,1,3.40,38.5,6,9,0.44,1.43,0.37,1.80
WR,6.10,0.93,23.12,2.85,0.18,0,0,38.5,23,11,0.45,1.14,-0.01,1.13
WR,17.20,0.85,6.76,2.39,0.31,2,13.20,38.5,6,6,0.67,3.33,0.00,3.33
TE,3.40,0.73,4.44,2.25,0.54,0,0,38.5,6,2,1.00,1.75,1.75,3.50
WR,5.90,0.66,4.16,2.12,0.36,1,5.90,38.5,23,1,1.00,34.00,15.00,49.00
WR,5.10,0.54,4.78,1.89,0.44,0,0,38.5,6,4,0.75,1.44,0.00,1.44
WR,2.00,1.13,7.48,3.08,0.07,0,0,38.5,23,3,0.33,4.78,0.67,5.44
WR,21.40,0.83,5.28,2.37,0.25,1,10.20,38.5,23,6,1.00,1.81,0.81,2.61
WR,12.00,0.95,10.48,2.83,0.22,1,7.90,41.5,19,4,0.75,1.56,0.94,2.50
TE,17.10,0.74,9.40,2.08,0.32,2,11.90,41.5,14,7,0.71,0.86,0.80,1.65
WR,15.20,0.42,10.88,1.57,0.44,1,12.30,41.5,14,4,0.50,5.06,0.75,5.81
WR,2.80,1.34,4.56,1,1,0,0,41.5,19,1,1.00,12.00,0.00,12.00
WR,7.90,0.53,15.48,1.83,0.42,0,0,41.5,19,7,0.71,1.12,0.14,1.27
WR,4.00,0.68,7.00,2.13,0.31,0,0,41.5,14,4,0.50,0.50,0.75,1.25
TE,4.90,0.74,2.98,2.35,0.28,0,0,41.5,19,3,0.67,3.89,1.33,5.22
WR,12.10,0.73,9.46,2.16,0.22,1,4.80,41.5,14,8,0.50,1.31,0.27,1.58
WR,5.80,0.85,4.02,2.46,0.19,0,0,46.5,7,4,0.75,2.25,0.25,2.50
WR,20.30,0.23,17.20,1.28,0.70,1,7.50,46.5,29,6,0.83,2.50,0.58,3.08
TE,4.40,0.65,11.26,2.20,0.37,0,0,46.5,29,2,1.00,3.25,2.75,6.00
TE,1.80,0.69,9.74,2.13,0.25,0,0,46.5,7,3,0.33,6.11,0.22,6.33
WR,12.30,0.68,6.00,1,1,2,6.70,46.5,7,5,1.00,2.68,0.24,2.92
WR,1.30,1.41,0.00,1,1,0,0,46.5,7,1,1.00,2.00,1.00,3.00
TE,1.70,0.86,2.84,2.34,0.52,0,0,46.5,7,4,0.25,2.19,0.13,2.31
WR,5.40,0.81,16.44,2.52,0.29,0,0,46.5,7,8,0.38,1.16,0.14,1.30
WR,16.00,0.81,3.18,2.17,0.25,1,7.90,46.5,29,5,1.00,0.76,0.60,1.36
WR,12.40,0.59,8.94,1.92,0.36,0,0,46.5,29,11,0.55,1.22,0.18,1.40
WR,1.20,0.89,2.20,2.63,0.42,0,0,39.5,9,4,0.25,3.00,0.06,3.06
WR,1.70,0.53,3.38,1.87,0.33,0,0,39.5,1,2,0.50,5.00,0.00,5.00
WR,18.70,0.51,13.94,1.77,0.45,1,7.20,39.5,1,10,0.80,0.35,0.19,0.54
WR,3.20,0.81,7.26,1,1,1,3.20,39.5,9,3,0.33,9.00,0.11,9.11
WR,10.10,0.66,6.54,2.01,0.49,1,5.00,39.5,9,4,1.00,3.13,0.69,3.81
TE,8.30,0.67,6.50,1.99,0.35,0,0,39.5,9,6,0.83,0.86,0.47,1.33
WR,6.70,0.44,14.06,1.54,0.47,0,0,39.5,1,4,0.75,3.25,0.44,3.69
TE,5.90,0.79,12.26,2.23,0.35,0,0,39.5,1,5,0.80,1.04,0.24,1.28
WR,15.90,0.68,6.96,2.05,0.26,1,15.90,53,32,2,0.50,11.50,11.75,23.25
WR,1.70,0.51,6.94,1.58,0.47,0,0,53,24,3,0.33,3.00,0.22,3.22
WR,28.60,0.59,18.64,1.93,0.39,1,13.70,53,32,7,0.71,2.41,1.02,3.43
TE,5.30,0.45,4.36,1,1,0,0,53,24,3,1.00,1.44,1.11,2.55
WR,1.90,0.57,5.08,1.98,0.38,0,0,53,32,1,1.00,9.00,0.00,9.00
WR,7.70,0.51,7.14,1.78,0.37,0,0,53,24,5,1.00,1.04,0.20,1.24
TE,11.20,0.51,22.34,1.77,0.46,1,3.50,53,32,9,0.56,0.93,0.37,1.30
TE,5.80,0.73,12.22,2.23,0.32,0,0,53,24,5,0.60,1.36,0.24,1.60
WR,16.80,0.75,11.92,2.22,0.14,0,0,53,24,12,0.75,0.67,0.16,0.83
TE,1.60,0.93,4.84,2.61,0.25,0,0,39.5,5,1,1.00,4.00,2.00,6.00
WR,7.30,0.75,6.58,2.19,0.27,0,0,39.5,5,5,0.80,0.28,1.24,1.52
WR,26.70,0.37,20.10,1.58,0.65,2,8.90,39.5,5,16,0.75,0.55,0.21,0.76
WR,5.80,0.51,7.15,1,1,0,0,39.5,5,5,0.60,1.56,0.20,1.76
TE,1.80,0.86,5.28,2.57,0.33,0,0,39.5,5,1,1.00,7.00,1.00,8.00
TE,1.70,1.20,5.33,1,1,0,0,44.5,16,2,0.50,3.75,0.75,4.50
WR,11.00,0.92,3.50,2.20,0.29,0,0,44.5,22,12,0.50,0.66,0.09,0.75
WR,4.90,1.09,6.47,1,1,0,0,44.5,16,4,0.75,2.25,0.19,2.44
WR,19.00,1.19,3.78,3.21,0.30,2,16.80,44.5,22,4,0.75,2.50,0.00,2.50
WR,3.70,0.84,8.44,3.05,0.41,1,3.70,44.5,16,5,0.20,3.32,0.00,3.32
TE,14.30,0.87,5.86,2.56,0.39,1,7.80,44.5,22,4,1.00,2.25,0.44,2.69
TE,5.10,0.63,6.86,1.89,0.32,0,0,44.5,16,5,0.60,1.00,0.52,1.52
WR,16.30,1.14,2.67,1,1,1,5.10,44.5,22,9,0.67,0.46,1.09,1.54
WR,7.30,0.73,5.34,2.09,0.18,0,0,44.5,16,8,0.38,2.78,0.05,2.83
WR,1.50,0.20,2.00,1,1,0,0,44.5,16,2,0.50,3.75,0.00,3.75
WR,27.30,0.75,14.20,2.25,0.34,3,21.50,39.5,27,9,0.67,1.04,0.42,1.46
WR,6.60,0.60,6.26,1.92,0.42,0,0,39.5,18,5,0.80,0.72,0.60,1.32
WR,9.82,1.10,11.70,2.80,0.23,0,0,39.5,18,7,0.43,2.00,0.04,2.04
TE,2.80,0.70,2.44,2.01,0.25,0,0,39.5,18,2,0.50,5.25,3.50,8.75
TE,4.40,0.42,3.30,1,1,0,0,39.5,18,4,0.75,0.75,0.25,1.00
WR,12.10,0.49,13.70,1.68,0.35,1,7.50,39.5,27,5,0.80,1.08,0.36,1.44
WR,1.50,0.42,1.50,1.73,0.63,0,0,39.5,27,1,1.00,4.00,1.00,5.00
TE,5.20,0.56,4.32,2.06,0.52,1,3.60,39.5,27,4,0.50,1.25,1.44,2.69
TE,1.30,0.86,6.74,2.34,0.29,0,0,41,2,1,1.00,0.00,3.00,3.00
TE,6.30,0.76,5.46,2.47,0.19,1,4.20,41,21,4,0.50,1.25,1.94,3.19
WR,17.90,0.63,9.40,1.92,0.23,3,15.00,41,2,7,0.57,2.63,0.12,2.76
TE,9.40,0.49,8.08,1.70,0.44,1,3.80,41,21,5,0.80,2.16,0.40,2.56
TE,9.20,0.55,9.98,1.81,0.43,1,5.20,41,2,7,0.43,1.57,0.37,1.94
WR,12.60,0.58,8.90,1.88,0.37,2,9.30,41,2,6,0.67,1.64,1.39,3.03
WR,3.90,0.43,3.24,1.69,0.44,0,0,41,21,3,0.67,3.44,0.44,3.89
WR,14.00,0.64,6.96,2.03,0.14,1,9.80,41,2,4,0.75,3.00,0.31,3.31
WR,21.20,0.50,12.98,1.76,0.37,1,11.80,41,2,9,0.56,1.73,0.37,2.10
WR,1.70,0.80,4.74,2.31,0.27,0,0,41,21,3,0.33,1.89,0.11,2.00
WR,3.50,0.38,9.32,1.45,0.41,1,3.50,41,21,2,0.50,5.00,4.00,9.00
WR,4.00,0.59,5.70,1.79,0.40,0,0,41,21,2,1.00,1.25,3.75,5.00
WR,18.50,0.56,8.84,1.86,0.36,1,8.90,42.5,32,10,0.60,1.72,0.08,1.80
WR,6.70,0.68,8.62,2.21,0.29,1,3.60,42.5,32,5,0.60,2.68,0.68,3.36
TE,3.00,0.42,2.30,1,1,0,0,42.5,32,3,0.67,0.56,1.11,1.67
TE,2.80,0.45,4.30,1,1,0,0,42.5,13,2,1.00,0.75,1.25,2.00
WR,3.40,0.51,8.02,1.78,0.37,0,0,42.5,13,3,0.67,3.78,0.56,4.33
TE,4.00,0.73,13.84,2.23,0.32,0,0,42.5,13,3,0.67,1.44,1.22,2.67
WR,14.50,0.75,9.74,2.22,0.14,0,0,42.5,13,10,0.70,0.98,0.16,1.14
WR,16.00,0.66,8.08,1.87,0.20,1,7.70,42.5,32,9,0.67,1.01,0.09,1.10
WR,1.90,0.98,9.74,3.22,0.20,0,0,54.5,24,1,1.00,5.00,4.00,9.00
TE,10.90,0.82,4.00,2.37,0.20,1,7.20,54.5,24,3,1.00,0.11,2.00,2.11
WR,25.60,0.64,13.98,2.09,0.29,2,13.60,54.5,24,12,0.58,1.37,0.06,1.42
WR,1.70,0.82,7.62,2.18,0.23,0,0,54.5,24,3,0.33,2.67,0.11,2.78
WR,13.10,0.59,22.56,1.93,0.39,1,4.20,54.5,11,9,0.44,1.54,0.26,1.80
WR,9.70,0.68,6.22,2.05,0.26,1,8.10,54.5,11,3,0.67,6.67,0.11,6.78
TE,9.10,0.81,3.66,2.49,0.32,1,7.10,54.5,24,2,1.00,0.75,2.00,2.75
WR,13.90,0.34,12.54,1.47,0.57,2,9.00,54.5,24,5,0.80,3.80,0.40,4.20
WR,6.40,0.98,9.66,2.90,0.36,1,1.30,54.5,11,5,0.60,2.56,0.32,2.88
TE,10.40,0.51,22.38,1.77,0.46,1,3.30,54.5,11,9,0.56,1.48,0.22,1.70
WR,12.40,0.67,8.92,1.81,0.38,1,3.50,53.5,17,7,0.71,2.57,0.08,2.65
WR,2.10,0.95,11.54,2.83,0.22,0,0,53.5,17,1,1.00,3.00,8.00,11.00
WR,5.50,0.28,6.78,1.53,0.73,1,3.30,53.5,17,4,0.50,3.63,0.94,4.56
WR,20.50,0.46,20.78,1.79,0.50,1,3.30,53.5,14,15,0.73,0.54,0.26,0.80
WR,4.80,0.81,5.22,2.40,0.25,0,0,53.5,14,3,1.00,-1.11,3.11,2.00
WR,27.90,0.53,13.74,1.83,0.42,2,11.00,53.5,17,13,0.85,0.48,0.30,0.78
WR,1.20,0.86,4.76,1,1,0,0,53.5,14,2,0.50,0.50,0.00,0.50
TE,5.90,0.54,8.24,1.86,0.52,1,5.90,53.5,14,4,0.25,3.06,1.31,4.38
TE,2.10,0.71,6.34,2.31,0.40,0,0,53.5,17,3,0.67,0.11,0.44,0.55
WR,44.50,0.40,18.64,1.61,0.63,4,23.70,53.5,14,19,0.74,0.63,0.14,0.76
TE,1.60,0.74,5.70,2.35,0.28,0,0,53.5,17,2,0.50,2.25,0.25,2.50
WR,5.90,0.93,6.28,2.38,0.31,0,0,43.5,1,9,0.33,1.01,0.00,1.01
WR,5.10,0.65,15.96,2.30,0.37,0,0,43.5,1,5,0.60,1.80,0.36,2.16
WR,11.80,0.59,11.78,1.98,0.35,1,7.40,43.5,28,3,1.00,0.78,1.89,2.67
WR,1.40,0.81,4.80,2.18,0.28,0,0,43.5,1,1,1.00,4.00,0.00,4.00
TE,1.40,0.68,8.80,1,1,0,0,43.5,28,2,0.50,7.00,0.00,7.00
WR,11.30,0.52,5.96,1.89,0.43,2,6.70,43.5,1,6,0.67,1.83,0.86,2.70
WR,3.30,1.10,1.88,2.90,0.37,1,3.30,43.5,1,1,1.00,22.00,1.00,23.00
