position,ppr_points,var,moving_avg,up_vol,down_vol,hv_plays,hv_points,ou,def_rk,attempts,conv_rate,ay_att,yac_att,yds_route
TE,14.60,0.65,10.20,2.20,0.37,1,10.40,47,29,7,0.43,2.04,0.14,2.18
WR,18.40,0.23,17.68,1.28,0.70,2,13.70,47,29,5,0.80,1.88,1.96,3.84
WR,2.30,0.60,14.52,1.92,0.42,0,0,52.5,10,1,1.00,8.00,5.00,13.00
TE,-0.50,0.70,4.40,2.01,0.25,0,0,52.5,10,1,1.00,7.00,-2.00,5.00
WR,14.40,0.75,6.04,1,1,1,14.40,52.5,10,2,0.50,10.75,8.75,19.50
WR,7.90,0.74,8.12,2.16,0.19,1,4.40,52.5,27,4,0.75,3.19,0.69,3.88
WR,4.00,0.84,9.78,2.56,0.28,0,0,52.5,10,3,1.00,0.67,0.44,1.11
TE,21.50,0.62,12.78,1.95,0.25,2,16.60,52.5,27,7,0.71,1.33,0.37,1.69
WR,1.30,0.84,6.54,2.31,0.24,0,0,52.5,27,1,1.00,3.00,0.00,3.00
TE,11.60,0.52,9.78,1.88,0.53,1,7.10,52.5,27,4,1.00,0.69,0.31,1.00
WR,1.60,1.10,4.64,2.80,0.23,0,0,52.5,10,4,0.25,3.38,0.44,3.81
WR,19.50,0.49,17.12,1.92,0.44,4,14.50,52.5,27,10,0.70,1.19,0.85,2.04
WR,7.00,0.47,10.20,1.71,0.48,1,3.20,52.5,27,4,0.75,3.06,1.25,4.31
WR,6.00,0.50,11.18,1.76,0.37,0,0,47,30,5,0.60,1.68,0.44,2.12
WR,16.20,0.63,6.78,1.92,0.23,2,11.40,47,30,5,0.80,4.00,0.64,4.64
WR,3.50,0.40,1.50,1,1,0,0,47,21,7,0.29,1.37,0.00,1.37
TE,17.30,0.55,11.74,1.81,0.43,3,14.10,47,30,5,1.00,0.84,1.68,2.52
WR,12.10,0.63,8.38,1.79,0.21,1,7.20,47,21,7,0.43,2.35,0.04,2.39
WR,21.50,0.50,16.02,1.72,0.41,2,13.00,47,21,8,0.88,1.02,0.59,1.61
WR,3.40,0.58,9.32,1.88,0.37,1,3.40,47,30,3,0.33,4.67,0.78,5.44
WR,1.70,0.57,7.42,2.00,0.37,0,0,47,21,1,1.00,6.00,1.00,7.00
TE,9.90,0.55,7.88,1.73,0.30,0,0,47,21,11,0.55,0.74,0.10,0.83
WR,0.40,0.64,3.74,2.03,0.14,0,0,47,30,1,1.00,4.00,2.00,6.00
TE,7.60,0.86,4.20,2.34,0.29,1,7.60,47,30,1,1.00,6.00,0.00,6.00
TE,3.30,0.82,6.66,2.37,0.20,0,0,46.5,19,2,1.00,1.75,1.50,3.25
WR,17.80,0.73,12.96,2.16,0.22,1,3.80,46.5,11,9,0.89,0.81,0.32,1.14
WR,20.30,0.82,9.76,2.18,0.23,2,16.90,46.5,19,5,0.80,4.08,0.52,4.60
WR,12.20,0.42,11.50,1.57,0.44,1,7.70,46.5,11,2,1.00,4.00,0.25,4.25
TE,4.20,0.81,7.52,2.49,0.32,0,0,46.5,19,2,1.00,1.25,4.25,5.50
WR,21.50,0.34,12.12,1.47,0.57,3,17.20,46.5,19,5,1.00,2.92,1.36,4.28
WR,4.50,0.68,5.12,2.13,0.31,1,3.50,46.5,11,2,1.00,3.75,2.50,6.25
WR,8.90,0.64,11.70,2.09,0.29,0,0,46.5,19,7,0.71,1.12,0.53,1.65
TE,3.10,0.63,12.12,2.20,0.30,0,0,46.5,11,4,0.50,2.06,0.19,2.25
WR,9.90,0.57,2.50,1.86,0.41,0,0,36.5,5,3,0.67,0.11,1.00,1.11
WR,17.40,0.49,9.25,1.68,0.35,1,14.50,36.5,5,3,0.67,7.67,4.11,11.78
TE,3.60,0.56,2.80,2.06,0.52,0,0,36.5,5,3,0.67,3.33,0.78,4.11
TE,5.50,0.76,3.93,2.47,0.19,0,0,42,32,4,0.75,1.63,0.38,2.00
TE,8.40,0.49,5.96,1.70,0.44,1,8.40,42,32,1,1.00,26.00,48.00,74.00
WR,4.60,0.51,9.00,1.58,0.47,0,0,42,2,10,0.30,1.00,0.04,1.04
WR,1.10,0.43,3.72,1.69,0.44,0,0,42,32,1,1.00,-4.00,5.00,1.00
TE,3.90,0.62,3.16,1.98,0.42,0,0,42,32,2,1.00,2.25,2.50,4.75
WR,8.50,0.51,7.36,1.78,0.37,1,5.40,42,2,3,0.67,6.67,1.00,7.67
WR,3.50,0.80,9.00,2.31,0.27,1,3.50,42,32,7,0.14,1.43,0.20,1.63
TE,5.90,0.30,3.00,1.24,0.67,1,4.00,42,2,2,1.00,1.50,8.25,9.75
TE,11.20,0.73,9.14,2.23,0.32,1,8.60,42,2,5,0.40,1.20,0.64,1.84
WR,11.10,0.59,9.18,1.79,0.40,1,7.80,42,32,6,0.50,2.00,0.03,2.03
WR,-0.20,0.75,7.74,2.22,0.14,0,0,42,2,1,0.00,32.00,0.00,32.00
TE,3.00,0.74,8.58,2.35,0.28,0,0,61,25,2,0.50,11.50,1.00,12.50
TE,1.20,0.72,4.00,2.53,0.46,0,0,61,14,1,1.00,0.00,2.00,2.00
WR,21.30,0.70,10.08,2.01,0.38,3,14.90,61,14,13,0.62,0.88,0.27,1.15
WR,7.50,0.28,6.40,1.53,0.73,1,7.50,61,25,3,0.33,4.56,0.00,4.56
TE,14.50,0.67,4.83,2.20,0.64,1,9.50,61,25,6,0.67,1.75,0.25,2.00
WR,8.20,0.40,4.50,1.60,0.70,1,8.20,61,25,1,1.00,12.00,0.00,12.00
WR,9.80,1.34,3.84,1,1,1,9.80,61,25,1,1.00,27.00,1.00,28.00
WR,7.80,0.53,23.66,1.83,0.42,0,0,61,25,6,0.67,2.14,0.14,2.28
TE,8.10,0.58,13.06,1.88,0.45,0,0,61,14,5,1.00,0.76,0.48,1.24
WR,1.60,0.83,3.80,2.14,0.27,0,0,61,14,2,0.50,-0.75,2.75,2.00
WR,11.70,0.50,8.76,1.76,0.45,1,4.70,61,14,4,1.00,3.63,1.00,4.63
WR,23.80,0.38,22.88,1.43,0.48,1,3.10,61,14,14,0.79,0.83,0.14,0.96
TE,13.50,0.45,10.74,1.74,0.53,0,0,40,6,8,0.75,1.16,0.38,1.53
WR,3.90,0.77,7.26,2.30,0.27,0,0,40,15,6,0.33,2.00,0.22,2.22
TE,0.90,0.62,3.15,1.99,0.39,0,0,40,15,1,1.00,-2.00,1.00,-1.00
WR,13.60,0.30,8.90,1,1,1,8.00,40,6,6,0.83,1.11,0.03,1.14
TE,4.50,1.34,2.73,4.39,0.26,0,0,40,15,2,1.00,3.75,2.50,6.25
WR,1.50,0.83,13.22,2.37,0.25,0,0,40,15,3,0.33,2.67,0.11,2.78
WR,3.20,0.36,1.83,1.54,0.70,1,3.20,40,15,2,0.50,3.50,3.00,6.50
WR,12.60,0.44,10.00,1.62,0.49,0,0,40,6,10,0.60,0.84,0.13,0.97
WR,38.00,0.93,13.14,2.85,0.18,2,27.00,40,15,9,0.89,0.74,1.48,2.22
WR,1.70,0.66,8.20,2.12,0.36,0,0,40,15,1,1.00,7.00,0.00,7.00
TE,15.30,0.73,8.12,2.17,0.33,1,12.30,40,6,4,0.50,4.81,1.63,6.44
WR,14.00,0.53,12.28,1.64,0.33,2,8.60,42.5,1,9,0.56,0.81,0.64,1.46
WR,7.42,0.59,12.66,1.98,0.35,1,3.60,42.5,16,4,0.75,2.75,1.13,3.88
TE,4.60,1.00,7.04,2.68,0.28,0,0,42.5,1,6,0.50,0.56,0.25,0.81
WR,5.70,0.63,13.46,2.10,0.40,1,3.90,42.5,16,5,0.40,3.60,0.08,3.68
WR,9.00,0.45,7.22,1.61,0.45,0,0,42.5,1,7,0.86,0.45,0.22,0.67
WR,11.90,0.66,10.62,2.01,0.49,0,0,42.5,16,8,0.88,0.80,0.33,1.13
WR,2.50,1.19,2.34,3.21,0.30,0,0,42.5,1,1,1.00,10.00,5.00,15.00
TE,4.80,0.67,10.62,1.99,0.35,0,0,42.5,16,7,0.57,0.71,0.02,0.73
TE,1.40,0.46,3.24,1.88,0.55,0,0,42.5,1,1,1.00,0.00,4.00,4.00
WR,1.70,0.89,4.52,2.63,0.42,0,0,42.5,16,1,1.00,7.00,0.00,7.00
TE,1.30,0.63,7.34,1.95,0.21,0,0,63.5,20,2,0.50,0.50,0.25,0.75
WR,1.30,0.42,2.40,1,1,0,0,63.5,24,1,1.00,3.00,0.00,3.00
WR,20.00,0.76,6.64,2.08,0.25,2,11.10,63.5,24,8,0.75,1.30,0.31,1.61
TE,19.90,0.85,5.08,2.44,0.19,2,18.70,63.5,24,4,0.75,2.50,0.88,3.38
TE,12.30,0.63,5.84,2.19,0.37,0,0,63.5,24,7,0.86,0.51,0.78,1.29
WR,43.50,0.59,23.00,1.93,0.39,4,31.00,63.5,20,14,0.71,1.28,0.26,1.54
WR,2.40,0.68,3.36,2.05,0.26,0,0,63.5,20,2,0.50,6.75,2.75,9.50
WR,26.40,0.98,3.02,2.90,0.36,3,19.50,63.5,20,8,0.88,0.80,0.70,1.50
WR,1.40,0.72,14.20,2.40,0.20,0,0,63.5,20,1,1.00,-1.00,5.00,4.00
WR,18.70,0.43,17.20,1.56,0.49,3,10.30,63.5,24,12,0.67,1.07,0.49,1.56
TE,28.70,0.51,17.00,1.77,0.46,3,16.40,63.5,20,15,0.67,0.56,0.35,0.91
WR,17.20,0.43,14.32,1.67,0.55,3,15.80,63.5,24,11,0.36,1.38,0.05,1.43
TE,11.70,0.54,8.60,1.86,0.52,1,8.10,47,5,6,0.50,0.58,0.42,1.00
WR,2.10,0.50,4.90,1.58,0.43,0,0,47,5,3,0.33,3.22,0.00,3.22
WR,18.40,0.46,14.58,1.79,0.50,2,7.60,47,5,10,0.80,0.93,0.31,1.24
WR,5.80,0.81,4.74,2.40,0.25,0,0,47,5,3,1.00,2.00,1.11,3.11
TE,1.30,0.69,2.46,2.18,0.52,0,0,47,5,1,1.00,0.00,3.00,3.00
WR,22.70,0.40,22.36,1.61,0.63,2,18.30,47,5,13,0.38,1.21,0.31,1.52
WR,7.30,0.56,14.22,1.81,0.44,0,0,56.5,14,5,0.80,1.52,0.04,1.56
WR,31.70,0.95,10.28,2.83,0.22,4,19.60,56.5,12,13,0.77,1.02,0.21,1.23
WR,6.30,0.28,6.50,1.53,0.73,0,0,56.5,12,5,0.60,1.88,0.52,2.40
TE,4.50,0.67,5.00,2.20,0.64,1,3.30,56.5,12,2,1.00,6.25,0.00,6.25
WR,7.30,0.40,3.80,1.60,0.70,1,7.30,56.5,12,2,0.50,6.75,0.00,6.75
WR,19.20,0.53,22.10,1.83,0.42,3,17.30,56.5,12,4,1.00,3.63,2.13,5.75
WR,6.70,0.67,7.78,2.09,0.34,0,0,56.5,14,4,0.75,2.50,0.88,3.38
TE,4.60,0.71,5.38,2.31,0.40,0,0,56.5,12,4,0.50,0.94,1.88,2.81
TE,3.50,0.62,24.22,1.98,0.32,0,0,56.5,14,3,0.67,2.11,0.33,2.44
WR,9.00,0.70,13.72,2.10,0.32,0,0,56.5,14,8,0.63,1.61,0.19,1.80
WR,10.80,0.56,9.58,1.86,0.36,2,8.90,47,,6,0.50,2.00,1.20,3.20
WR,1.40,0.66,7.40,1.87,0.20,0,0,47,,2,0.50,2.25,0.00,2.25
TE,6.00,0.91,10.10,2.39,0.38,0,0,47,,5,0.80,0.72,0.28,1.00
TE,1.90,0.72,4.02,2.07,0.33,0,0,47,,2,0.50,-0.75,0.75,0.00
WR,10.20,0.47,17.74,1.72,0.53,1,4.80,47,,6,0.67,1.08,0.95,2.03
WR,16.30,0.47,12.72,1.66,0.44,2,16.30,41,32,4,0.50,3.56,0.06,3.63
WR,16.70,0.52,11.28,1.69,0.35,1,12.90,41,32,4,0.75,1.38,4.00,5.38
TE,1.50,0.67,7.12,2.11,0.27,0,0,41,32,3,0.33,0.67,0.89,1.56
WR,7.80,0.51,7.42,1.78,0.37,0,0,41,26,7,0.57,0.88,0.84,1.71
TE,2.60,0.30,3.10,1.24,0.67,0,0,41,26,2,1.00,1.00,0.50,1.50
TE,1.80,0.36,3.24,1.54,0.64,0,0,41,32,2,0.50,0.00,2.00,2.00
WR,10.90,0.36,7.38,1,1,2,10.90,41,26,3,0.67,4.89,0.00,4.89
TE,12.10,0.73,7.92,2.23,0.32,1,9.30,41,26,6,0.50,2.14,0.03,2.17
TE,20.10,0.45,8.44,1.74,0.53,2,11.30,40.5,4,11,0.64,0.58,0.26,0.83
TE,2.10,0.93,7.94,2.61,0.25,0,0,40.5,15,1,1.00,-1.00,12.00,11.00
WR,12.70,0.78,11.65,2.08,0.22,1,5.00,40.5,15,9,0.56,0.62,0.85,1.47
TE,6.20,0.47,2.96,1.70,0.49,1,3.80,40.5,15,2,1.00,1.50,9.00,10.50
WR,6.20,0.44,9.76,1.62,0.49,0,0,40.5,4,7,0.43,2.49,0.27,2.76
WR,2.30,0.90,9.42,3.02,0.31,0,0,40.5,4,4,0.25,4.94,0.44,5.38
WR,14.60,0.37,21.22,1.58,0.65,1,8.60,40.5,15,6,0.83,1.61,0.08,1.70
WR,2.80,0.50,2.56,2.07,0.63,0,0,40.5,4,3,0.33,5.11,0.56,5.67
WR,2.00,0.54,7.22,1.89,0.44,0,0,54,31,1,1.00,1.00,9.00,10.00
WR,8.00,0.61,11.40,1.86,0.36,0,0,54,23,3,1.00,2.78,2.78,5.55
TE,8.60,0.54,9.86,1.72,0.33,1,6.40,54,31,2,1.00,4.25,12.25,16.50
TE,12.80,0.43,13.70,1.59,0.37,2,6.80,54,23,6,0.83,1.83,0.81,2.64
WR,1.90,0.87,5.20,2.50,0.46,0,0,54,31,1,1.00,9.00,0.00,9.00
WR,4.20,0.54,11.78,1.93,0.49,0,0,54,31,2,1.00,5.50,0.00,5.50
WR,15.00,0.57,13.94,1.86,0.43,2,12.70,54,23,5,0.60,1.40,1.68,3.08
WR,24.00,0.47,13.62,1.62,0.41,3,18.00,54,23,7,0.86,2.04,0.63,2.67
TE,3.60,0.68,4.20,2.08,0.33,0,0,54,23,3,0.67,1.56,0.44,2.00
WR,7.80,0.65,11.36,2.16,0.38,0,0,54,23,7,0.57,2.57,0.06,2.63
WR,18.50,0.37,23.38,1.59,0.57,3,16.60,54,31,4,1.00,3.88,0.75,4.63
TE,2.20,0.75,5.44,2.32,0.40,0,0,54,31,1,1.00,2.00,10.00,12.00
WR,14.70,0.86,8.02,2.46,0.22,1,7.10,50,10,6,0.83,1.25,0.28,1.53
WR,1.60,0.65,3.57,2.06,0.48,0,0,50,10,1,1.00,-2.00,7.00,5.00
WR,4.90,0.73,10.76,2.33,0.36,1,3.30,50,10,4,0.50,2.81,0.56,3.38
TE,10.40,0.74,6.40,2.02,0.29,0,0,50,10,8,0.75,0.72,0.34,1.06
TE,7.40,0.65,3.30,2.22,0.33,1,3.80,50,10,3,1.00,3.44,1.44,4.89
WR,2.10,1.05,6.20,2.91,0.22,0,0,50,3,1,1.00,10.00,1.00,11.00
WR,2.90,0.74,10.84,2.16,0.19,0,0,50,3,2,1.00,-1.00,3.25,2.25
TE,2.90,0.95,2.42,3.03,0.36,0,0,50,10,1,1.00,19.00,0.00,19.00
WR,3.50,0.84,8.34,2.31,0.24,0,0,50,3,3,0.67,1.56,1.11,2.67
TE,8.30,0.52,10.88,1.88,0.53,0,0,50,3,4,1.00,1.31,1.38,2.69
WR,36.50,0.49,11.82,1.92,0.44,2,22.20,50,3,9,1.00,1.36,0.56,1.91
WR,13.40,0.47,7.82,1.71,0.48,1,7.70,50,3,6,0.67,1.53,0.28,1.81
TE,3.60,0.66,4.38,2.10,0.41,0,0,50,10,3,0.67,2.89,0.67,3.56
WR,16.50,0.42,10.54,1.57,0.44,1,8.20,48.5,16,7,0.71,1.86,0.16,2.02
WR,5.90,0.51,11.38,1.79,0.52,1,3.30,48.5,16,8,0.25,2.02,0.08,2.10
WR,11.20,0.45,6.16,1.61,0.45,1,3.10,48.5,19,9,0.67,0.40,0.37,0.77
WR,1.20,1.19,2.42,3.21,0.30,0,0,48.5,19,1,1.00,2.00,0.00,2.00
TE,2.30,0.87,2.28,2.56,0.39,0,0,48.5,19,1,1.00,3.00,10.00,13.00
WR,7.00,0.68,3.98,2.13,0.31,1,3.10,48.5,16,4,0.75,0.88,1.63,2.50
TE,8.90,0.63,12.10,2.20,0.30,1,7.10,48.5,16,3,0.67,2.67,0.00,2.67
WR,28.70,0.73,9.16,2.16,0.22,3,20.90,48.5,16,8,0.88,1.03,1.63,2.66
WR,25.30,0.53,11.18,1.64,0.33,2,13.50,48.5,19,15,0.53,0.83,0.14,0.97
WR,13.60,0.44,23.08,1.54,0.47,0,0,44,1,13,0.54,0.65,0.08,0.73
WR,3.10,0.89,4.82,2.63,0.42,0,0,44,9,4,0.50,0.31,0.63,0.94
TE,3.30,0.79,6.42,2.23,0.35,0,0,44,1,6,0.33,1.42,0.03,1.45
WR,10.40,0.69,7.30,2.22,0.26,1,8.30,44,1,2,1.00,5.00,1.00,6.00
WR,10.40,0.59,12.56,1.98,0.35,1,8.80,44,9,3,0.67,5.56,0.00,5.56
WR,2.80,0.41,5.10,1,1,0,0,44,1,1,1.00,19.00,-1.00,18.00
WR,1.70,0.53,5.64,1.87,0.33,0,0,44,1,3,0.33,3.11,0.00,3.11
TE,1.40,0.36,2.78,1,1,0,0,44,9,1,1.00,2.00,2.00,4.00
WR,31.60,0.51,18.12,1.77,0.45,2,11.00,44,1,18,0.72,0.45,0.21,0.66
WR,6.90,0.63,13.68,2.10,0.40,0,0,44,9,7,0.43,1.76,0.20,1.96
WR,13.90,0.66,13.92,2.01,0.49,0,0,44,9,9,0.78,1.17,0.12,1.30
TE,1.90,0.67,12.70,1.99,0.35,0,0,44,9,1,1.00,1.00,8.00,9.00
TE,1.50,0.67,4.20,1,1,0,0,43.5,2,1,1.00,0.00,5.00,5.00
TE,2.90,0.49,5.90,1.70,0.44,0,0,43.5,30,1,1.00,18.00,1.00,19.00
WR,10.70,0.63,7.70,1.79,0.21,1,9.20,43.5,2,7,0.29,1.96,0.02,1.98
WR,11.10,0.50,15.48,1.72,0.41,2,8.10,43.5,2,11,0.36,0.89,0.29,1.18
WR,3.20,0.43,3.68,1.69,0.44,0,0,43.5,30,1,1.00,11.00,3.00,14.00
TE,7.10,0.55,6.78,1.73,0.30,0,0,43.5,2,5,0.60,2.12,0.32,2.44
TE,7.40,0.93,3.87,1,1,1,7.40,43.5,2,1,1.00,4.00,0.00,4.00
TE,7.60,0.62,2.96,1.98,0.42,0,0,43.5,30,4,1.00,0.56,1.69,2.25
WR,3.30,0.80,10.30,2.31,0.27,1,3.30,43.5,30,1,1.00,14.00,9.00,23.00
WR,10.10,0.38,10.66,1.45,0.41,0,0,43.5,30,8,0.63,0.89,0.24,1.13
WR,1.70,0.59,11.36,1.79,0.40,0,0,43.5,30,3,0.33,4.22,-0.11,4.11
WR,6.70,0.70,10.30,2.01,0.38,0,0,49.5,6,4,0.75,2.31,0.31,2.63
WR,2.00,0.77,7.18,2.30,0.27,0,0,49.5,25,5,0.20,4.28,0.00,4.28
TE,6.70,0.58,15.06,1.88,0.45,0,0,49.5,6,8,0.50,0.55,0.16,0.70
TE,6.40,0.44,7.06,1.84,0.60,0,0,49.5,25,5,0.80,0.72,0.68,1.40
WR,6.60,0.93,12.56,2.85,0.18,0,0,49.5,25,5,0.60,1.44,0.44,1.88
WR,9.90,0.50,10.24,1.76,0.45,0,0,49.5,6,6,0.67,2.06,0.56,2.61
WR,10.10,0.83,11.56,2.37,0.25,0,0,49.5,25,7,0.71,0.90,0.51,1.41
WR,23.80,0.38,20.36,1.43,0.48,3,17.30,49.5,6,9,0.67,2.40,0.27,2.67
TE,3.90,0.72,3.52,2.53,0.46,0,0,49.5,6,2,1.00,0.75,4.00,4.75
TE,8.50,0.82,5.46,2.37,0.20,1,8.50,49,22,1,1.00,9.00,6.00,15.00
TE,2.30,0.63,10.00,1.89,0.32,0,0,49,11,1,1.00,0.00,13.00,13.00
WR,2.60,0.85,4.72,2.42,0.33,0,0,49,11,4,0.25,3.25,0.25,3.50
WR,1.80,0.73,13.82,2.09,0.18,0,0,49,11,3,0.33,1.78,0.56,2.33
WR,9.70,0.82,11.58,2.18,0.23,1,3.70,49,22,8,0.50,2.09,0.24,2.33
TE,2.70,0.81,7.30,2.49,0.32,0,0,49,22,2,0.50,0.75,4.25,5.00
WR,12.20,0.34,13.56,1.47,0.57,1,4.40,49,22,5,1.00,2.60,0.24,2.84
WR,26.60,0.24,24.04,1.39,0.78,2,11.80,49,11,12,0.83,1.35,0.35,1.71
WR,18.20,0.64,8.28,2.09,0.29,1,7.60,49,22,10,0.70,0.91,0.09,1.00
TE,3.20,0.56,4.36,1.85,0.41,0,0,49,11,2,1.00,1.50,1.50,3.00
WR,11.60,0.54,14.20,1.93,0.49,1,7.30,45,28,3,0.67,1.00,0.00,1.00
WR,10.90,0.93,10.62,2.38,0.31,1,3.60,45,23,5,0.80,2.72,0.28,3.00
WR,5.20,0.65,9.30,2.30,0.37,0,0,45,23,6,0.67,0.53,0.39,0.92
TE,8.60,0.54,8.90,1.72,0.33,1,4.10,45,28,5,0.80,2.56,0.56,3.12
TE,1.60,0.75,5.62,2.32,0.40,0,0,45,28,1,1.00,1.00,5.00,6.00
WR,7.30,0.52,9.12,1.89,0.43,0,0,45,23,6,0.67,2.17,0.17,2.33
WR,2.20,1.10,6.20,2.90,0.37,0,0,45,23,1,1.00,7.00,5.00,12.00
TE,17.30,0.51,14.52,1.84,0.47,1,3.20,45,23,10,0.90,0.44,0.43,0.87
WR,2.10,0.87,6.66,2.50,0.46,0,0,45,28,1,1.00,11.00,0.00,11.00
WR,23.30,0.37,21.52,1.59,0.57,3,21.00,45,28,11,0.36,1.36,0.08,1.44
WR,3.30,0.70,15.64,2.10,0.32,0,0,45.5,6,4,0.50,1.88,0.94,2.81
WR,5.40,0.77,7.40,2.30,0.27,1,3.50,45.5,12,3,0.67,1.56,4.22,5.78
TE,4.10,0.62,2.20,1.99,0.39,0,0,45.5,12,2,1.00,1.00,4.25,5.25
TE,4.30,0.44,8.14,1.84,0.60,0,0,45.5,12,3,1.00,1.11,0.33,1.44
WR,13.30,0.61,9.02,2.03,0.39,1,6.10,45.5,6,7,0.71,2.45,0.35,2.80
WR,13.50,0.93,14.18,2.85,0.18,1,3.40,45.5,12,10,0.60,1.19,0.23,1.42
WR,7.00,0.67,7.20,2.09,0.34,0,0,45.5,6,3,1.00,3.56,0.89,4.45
WR,6.00,0.66,7.84,2.12,0.36,1,3.30,45.5,12,2,1.00,6.25,3.75,10.00
TE,41.10,0.62,20.24,1.98,0.32,4,22.00,45.5,6,16,0.88,0.46,0.16,0.62
WR,8.80,0.56,17.36,1.81,0.44,0,0,45.5,6,8,0.50,1.52,0.13,1.64
WR,7.70,0.83,11.88,2.37,0.25,1,3.10,45.5,12,5,0.80,1.36,0.28,1.64
TE,3.40,0.82,7.24,2.37,0.20,1,3.40,51,20,1,1.00,16.00,8.00,24.00
WR,8.90,0.62,19.22,2.20,0.30,1,3.50,51,11,8,0.63,1.13,0.19,1.31
TE,9.50,0.85,4.26,2.44,0.19,1,8.00,51,11,2,1.00,3.75,0.00,3.75
WR,2.60,0.82,12.24,2.18,0.23,0,0,51,20,2,0.50,12.75,0.00,12.75
TE,11.50,0.63,5.00,2.19,0.37,1,8.00,51,11,3,1.00,2.33,0.44,2.78
TE,7.80,0.81,7.08,2.49,0.32,1,7.80,51,20,2,0.50,3.50,0.00,3.50
WR,19.50,0.34,11.72,1.47,0.57,2,13.20,51,20,6,0.83,2.03,0.50,2.53
WR,26.90,0.43,16.94,1.56,0.49,0,0,51,11,12,0.83,0.51,0.35,0.87
WR,14.60,0.43,15.30,1.67,0.55,2,7.70,51,11,5,0.80,3.08,0.80,3.88
WR,8.90,0.64,8.32,2.09,0.29,0,0,51,20,5,1.00,1.20,0.36,1.56
WR,8.70,0.36,7.10,1,1,0,0,50.5,,6,0.67,1.25,0.58,1.83
WR,4.90,0.32,6.80,1.54,0.66,0,0,50.5,,3,1.00,0.67,1.22,1.89
WR,6.90,0.51,6.68,1.78,0.37,0,0,50.5,,3,1.00,2.89,1.44,4.33
TE,1.50,1.02,2.34,2.77,0.38,0,0,50.5,,3,0.33,1.11,0.00,1.11
WR,1.00,0.63,1.66,1.94,0.28,0,0,50.5,,1,1.00,-3.00,3.00,0.00
TE,9.20,0.73,12.28,2.23,0.32,1,4.10,50.5,,8,0.50,1.45,0.22,1.67
WR,12.10,0.47,13.68,1.68,0.47,2,8.70,46.5,3,12,0.33,1.35,0.13,1.49
WR,5.60,0.65,2.55,2.06,0.48,1,3.60,46.5,7,3,0.67,3.11,1.33,4.44
WR,25.50,0.73,11.88,2.33,0.36,3,16.40,46.5,7,10,0.70,1.48,0.21,1.69
TE,13.50,0.74,4.14,2.02,0.29,2,11.30,46.5,7,3,1.00,1.56,3.44,5.00
TE,2.10,0.65,4.50,2.22,0.33,0,0,46.5,7,1,1.00,9.00,2.00,11.00
TE,2.70,0.58,3.04,1,1,0,0,46.5,3,2,0.50,4.50,1.00,5.50
WR,3.80,0.81,7.64,2.17,0.25,0,0,46.5,3,2,1.00,2.00,2.50,4.50
WR,1.84,0.60,4.00,1.93,0.51,0,0,46.5,7,1,1.00,-1.00,1.00,0.00
TE,2.00,0.66,2.66,1,1,0,0,46.5,3,1,1.00,3.00,7.00,10.00
WR,19.64,0.23,16.30,1.28,0.70,2,7.90,46.5,3,12,0.75,0.53,0.35,0.88
WR,10.60,0.90,8.84,3.02,0.31,0,0,51,31,5,1.00,1.64,0.44,2.08
WR,17.30,0.61,8.78,1.86,0.36,0,0,51,15,7,1.00,1.49,0.61,2.10
TE,2.50,0.43,15.84,1.59,0.37,0,0,51,15,2,0.50,5.00,0.50,5.50
WR,14.60,0.44,8.38,1.62,0.49,1,7.60,51,31,4,1.00,2.38,0.50,2.88
WR,7.30,0.57,14.40,1.86,0.43,2,7.30,51,15,3,0.67,4.22,2.67,6.89
WR,8.10,0.47,14.38,1.62,0.41,1,3.30,51,15,6,0.50,3.20,-0.03,3.17
TE,2.40,0.68,6.10,2.08,0.33,0,0,51,15,3,0.33,2.67,0.00,2.67
TE,9.10,0.45,7.24,1.74,0.53,1,3.40,51,31,6,0.67,1.06,0.56,1.61
WR,3.50,0.50,2.22,2.07,0.63,0,0,51,31,3,0.67,3.56,0.22,3.78
WR,11.70,0.65,12.26,2.16,0.38,1,3.40,51,15,8,0.63,1.89,0.41,2.30
WR,3.60,0.90,7.22,2.77,0.26,0,0,37.5,18,5,0.40,1.28,0.24,1.52
TE,6.40,0.69,9.88,2.13,0.25,1,3.20,37.5,18,4,0.75,0.56,1.81,2.38
WR,13.50,0.49,5.00,1.68,0.35,2,11.00,37.5,29,4,0.75,6.63,0.75,7.38
TE,1.60,0.86,4.63,2.34,0.52,0,0,37.5,18,1,1.00,5.00,1.00,6.00
WR,23.30,0.75,8.10,2.25,0.34,2,12.10,37.5,29,11,0.73,0.88,0.29,1.17
WR,5.60,0.57,1.46,1.86,0.41,0,0,37.5,29,1,1.00,-4.00,18.00,14.00
WR,2.10,0.09,3.08,1,1,0,0,37.5,18,1,1.00,11.00,0.00,11.00
TE,1.70,1.13,4.02,3.25,0.37,0,0,37.5,29,1,1.00,-3.00,4.00,1.00
WR,5.80,0.66,8.68,1.99,0.31,0,0,37.5,18,8,0.50,0.38,0.33,0.70
TE,10.60,0.51,17.88,1.77,0.46,0,0,49.5,26,8,0.75,0.36,0.44,0.80
WR,2.80,0.52,12.22,1.69,0.35,0,0,49.5,24,6,0.33,1.50,0.00,1.50
TE,10.10,0.67,7.20,2.11,0.27,1,3.10,49.5,24,9,0.56,1.12,0.14,1.26
