Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Deontay Burnett (13251927),Deontay Burnett,13251927,WR/FLEX,3000,BUF@NYJ 09/08/2019 01:00PM ET,NYJ,4.86
WR,Greg Dortch (13251935),Greg Dortch,13251935,WR/FLEX,3000,BUF@NYJ 09/08/2019 01:00PM ET,NYJ,0
WR,Nick Easley (13251976),Nick Easley,13251976,WR/FLEX,3000,BUF@NYJ 09/08/2019 01:00PM ET,BUF,0
RB,Trenton Cannon (13251984),Trenton Cannon,13251984,RB/FLEX,3000,BUF@NYJ 09/08/2019 01:00PM ET,NYJ,3.04
RB,Christian Wade (13251998),Christian Wade,13251998,RB/FLEX,3000,BUF@NYJ 09/08/2019 01:00PM ET,BUF,0
RB,Valentine Holmes (13252000),Valentine Holmes,13252000,RB/FLEX,3000,BUF@NYJ 09/08/2019 01:00PM ET,NYJ,0
WR,Brian Quick (13251304),Brian Quick,13251304,WR/FLEX,3000,WAS@PHI 09/08/2019 01:00PM ET,WAS,0.8
WR,Marken Michel (13251472),Marken Michel,13251472,WR/FLEX,3000,WAS@PHI 09/08/2019 01:00PM ET,PHI,0
RB,Byron Marshall (13251528),Byron Marshall,13251528,RB/FLEX,3000,WAS@PHI 09/08/2019 01:00PM ET,WAS,1.32
WR,Jehu Chesson (13251562),Jehu Chesson,13251562,WR/FLEX,3000,WAS@PHI 09/08/2019 01:00PM ET,WAS,0.11
WR,Carlton Agudosi (13251564),Carlton Agudosi,13251564,WR/FLEX,3000,WAS@PHI 09/08/2019 01:00PM ET,PHI,0
WR,Mack Hollins (13251574),Mack Hollins,13251574,WR/FLEX,3000,WAS@PHI 09/08/2019 01:00PM ET,PHI,0
WR,Greg Ward (13251616),Greg Ward,13251616,WR/FLEX,3000,WAS@PHI 09/08/2019 01:00PM ET,PHI,0
WR,Darvin Kidsy Jr. (13251626),Darvin Kidsy Jr.,13251626,WR/FLEX,3000,WAS@PHI 09/08/2019 01:00PM ET,WAS,0.9
WR,Robert Davis (13251628),Robert Davis,13251628,WR/FLEX,3000,WAS@PHI 09/08/2019 01:00PM ET,WAS,0
RB,Donnel Pumphrey (13251636),Donnel Pumphrey,13251636,RB/FLEX,3000,WAS@PHI 09/08/2019 01:00PM ET,PHI,0
RB,Boston Scott (13251660),Boston Scott,13251660,RB/FLEX,3000,WAS@PHI 09/08/2019 01:00PM ET,PHI,0
RB,Samaje Perine (13251693),Samaje Perine,13251693,RB/FLEX,3000,WAS@PHI 09/08/2019 01:00PM ET,WAS,1.34
WR,DeAndre Thompkins (13251697),DeAndre Thompkins,13251697,WR/FLEX,3000,WAS@PHI 09/08/2019 01:00PM ET,PHI,0
WR,Cam Sims (13251740),Cam Sims,13251740,WR/FLEX,3000,WAS@PHI 09/08/2019 01:00PM ET,WAS,0
RB,Shaun Wilson (13251747),Shaun Wilson,13251747,RB/FLEX,3000,WAS@PHI 09/08/2019 01:00PM ET,WAS,1.28
WR,Steven Sims Jr. (13251865),Steven Sims Jr.,13251865,WR/FLEX,3000,WAS@PHI 09/08/2019 01:00PM ET,WAS,0
RB,Bryce Love (13251925),Bryce Love,13251925,RB/FLEX,3000,WAS@PHI 09/08/2019 01:00PM ET,WAS,0
WR,Kelvin Harmon (13251953),Kelvin Harmon,13251953,WR/FLEX,3000,WAS@PHI 09/08/2019 01:00PM ET,WAS,0
RB,Craig Reynolds (13252006),Craig Reynolds,13252006,RB/FLEX,3000,WAS@PHI 09/08/2019 01:00PM ET,WAS,0
TE,Gerald Everett (13251815),Gerald Everett,13251815,TE/FLEX,2900,LAR@CAR 09/08/2019 01:00PM ET,LAR,4.93
TE,Geoff Swaim (13251589),Geoff Swaim,13251589,TE/FLEX,2900,KC@JAX 09/08/2019 01:00PM ET,JAX,6.24
TE,Dallas Goedert (13251682),Dallas Goedert,13251682,TE/FLEX,2900,WAS@PHI 09/08/2019 01:00PM ET,PHI,5.58
TE,Ian Thomas (13251965),Ian Thomas,13251965,TE/FLEX,2800,LAR@CAR 09/08/2019 01:00PM ET,CAR,5.08
DST,Chiefs  (13251258),Chiefs ,13251258,DST,2800,KC@JAX 09/08/2019 01:00PM ET,KC,7.83
TE,Jonnu Smith (13251624),Jonnu Smith,13251624,TE/FLEX,2700,TEN@CLE 09/08/2019 01:00PM ET,TEN,4.91
TE,Josh Oliver (13251891),Josh Oliver,13251891,TE/FLEX,2700,KC@JAX 09/08/2019 01:00PM ET,JAX,0
TE,Hayden Hurst (13251893),Hayden Hurst,13251893,TE/FLEX,2700,BAL@MIA 09/08/2019 01:00PM ET,BAL,2.72
TE,Irv Smith Jr. (13251969),Irv Smith Jr.,13251969,TE/FLEX,2700,ATL@MIN 09/08/2019 01:00PM ET,MIN,0
