Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Dede Westbrook (13251839),Dede Westbrook,13251839,WR/FLEX,4800,KC@JAX 09/08/2019 01:00PM ET,JAX,11.53
QB,Dwayne Haskins Jr. (13251973),Dwayne Haskins Jr.,13251973,QB,4800,WAS@PHI 09/08/2019 01:00PM ET,WAS,0
RB,Dion Lewis (13251357),Dion Lewis,13251357,RB/FLEX,4700,TEN@CLE 09/08/2019 01:00PM ET,TEN,10.11
RB,Kenyan Drake (13251551),Kenyan Drake,13251551,RB/FLEX,4700,BAL@MIA 09/08/2019 01:00PM ET,MIA,12.95
QB,Josh Rosen (13251858),Josh Rosen,13251858,QB,4700,BAL@MIA 09/08/2019 01:00PM ET,MIA,9.42
QB,Chad Henne (13251285),Chad Henne,13251285,QB,4600,KC@JAX 09/08/2019 01:00PM ET,KC,1.46
WR,Mohamed Sanu (13251354),Mohamed Sanu,13251354,WR/FLEX,4600,ATL@MIN 09/08/2019 01:00PM ET,ATL,11.65
RB,LeSean McCoy (13251308),LeSean McCoy,13251308,RB/FLEX,4600,BUF@NYJ 09/08/2019 01:00PM ET,BUF,9.3
QB,Taylor Heinicke (13251450),Taylor Heinicke,13251450,QB,4500,LAR@CAR 09/08/2019 01:00PM ET,CAR,2.82
RB,Kalen Ballage (13251685),Kalen Ballage,13251685,RB/FLEX,4500,BAL@MIA 09/08/2019 01:00PM ET,MIA,3.48
QB,Matt Schaub (13251284),Matt Schaub,13251284,QB,4500,ATL@MIN 09/08/2019 01:00PM ET,ATL,0.37
QB,Josh McCown (13251268),Josh McCown,13251268,QB,4500,WAS@PHI 09/08/2019 01:00PM ET,PHI,6.19
WR,DeSean Jackson (13251290),DeSean Jackson,13251290,WR/FLEX,4500,WAS@PHI 09/08/2019 01:00PM ET,PHI,13.36
QB,Ryan Tannehill (13251303),Ryan Tannehill,13251303,QB,4400,TEN@CLE 09/08/2019 01:00PM ET,TEN,14.18
WR,Marqise Lee (13251448),Marqise Lee,13251448,WR/FLEX,4400,KC@JAX 09/08/2019 01:00PM ET,JAX,0
RB,Derrius Guice (13251832),Derrius Guice,13251832,RB/FLEX,4400,WAS@PHI 09/08/2019 01:00PM ET,WAS,0
QB,Blake Bortles (13251418),Blake Bortles,13251418,QB,4300,LAR@CAR 09/08/2019 01:00PM ET,LAR,15.4
WR,John Brown (13251352),John Brown,13251352,WR/FLEX,4300,BUF@NYJ 09/08/2019 01:00PM ET,BUF,9.02
