season,player,tm,fantpos,g,rush_att,rush_yds,y_a,rush_td,tgt,rec,yds,rec_td,ppr
2017,Jimmy Graham,SEA,TE,16,0,0,"",0,96,57,520,10,171
2017,Alex Collins,BAL,RB,15,212,973,4.59,6,36,23,187,0,171
2017,Jack Doyle,IND,TE,15,0,0,"",0,108,80,690,4,169
2017,Marquise Goodwin,SFO,WR,16,4,44,11,0,105,56,962,2,168.6
2017,Tevin Coleman,ATL,RB,15,156,628,4.03,5,39,27,299,3,167.7
2017,Javorius Allen,BAL,RB,16,153,591,3.86,4,60,46,250,2,166.1
2017,Marshawn Lynch,OAK,RB,15,207,891,4.3,7,31,20,151,0,164.2
2017,Robert Woods,LAR,WR,12,2,12,6,0,85,56,781,5,163.3
2017,Jamison Crowder,WAS,WR,15,7,34,4.86,0,103,66,789,3,160.3
2017,Ted Ginn,NOR,WR,15,10,39,3.9,0,70,53,787,4,159.6
2017,Randall Cobb,GNB,WR,15,9,17,1.89,0,92,66,653,4,159.4
2017,Amari Cooper,OAK,WR,14,1,4,4,0,96,48,680,7,158.4
2017,Kyle Rudolph,MIN,TE,16,0,0,"",0,81,57,532,8,158.2
2017,Latavius Murray,MIN,RB,16,216,842,3.9,8,17,15,103,0,157.5
2017,Rishard Matthews,TEN,WR,14,1,-3,-3,0,87,53,795,4,156.2
2017,Theo Riddick,DET,RB,16,84,286,3.4,3,71,53,444,2,154
2017,Giovani Bernard,CIN,RB,16,105,458,4.36,2,60,43,389,2,151.7
2017,Chris Thompson,WAS,RB,10,64,294,4.59,2,54,39,510,4,151.4
2017,Mike Wallace,BAL,WR,15,1,4,4,0,92,52,748,4,151.2
2017,Paul Richardson,SEA,WR,16,0,0,"",0,80,44,703,6,150.3
2017,Tarik Cohen,CHI,RB,16,87,370,4.25,2,71,53,353,1,150.1
2017,Marqise Lee,JAX,WR,14,1,17,17,0,96,56,702,3,147.9
2017,Jason Witten,DAL,TE,16,0,0,"",0,87,63,560,5,147
2017,Sammy Watkins,LAR,WR,15,0,0,"",0,70,39,593,8,146.3
2017,Bilal Powell,NYJ,RB,15,178,772,4.34,5,33,23,170,0,145.2
2017,Sterling Shepard,NYG,WR,11,4,4,1,0,84,59,731,2,144.5
2017,Isaiah Crowell,CLE,RB,16,206,853,4.14,2,42,28,182,0,143.5
2017,Cameron Brate,TAM,TE,16,0,0,"",0,77,48,591,6,143.1
2017,Jamaal Williams,GNB,RB,16,153,556,3.63,4,34,25,262,2,142.8
2017,Kenyan Drake,MIA,RB,16,133,644,4.84,3,48,32,239,1,142.3
2017,Joe Mixon,CIN,RB,14,178,626,3.52,4,34,30,287,0,141.3
2017,Danny Amendola,NWE,WR,15,0,0,"",0,86,61,659,2,138.9
2017,DeSean Jackson,TAM,WR,14,3,38,12.67,0,90,50,668,3,138.6
2017,Tyrell Williams,LAC,WR,16,0,0,"",0,69,43,728,4,137.8
2017,Orleans Darkwa,NYG,RB,15,171,751,4.39,5,28,19,116,0,137.7
2017,Jordy Nelson,GNB,WR,15,0,0,"",0,88,53,482,6,137.2
2017,Ben Watson,BAL,TE,16,0,0,"",0,79,61,522,4,137.2
2017,Kelvin Benjamin,2TM,WR,14,0,0,"",0,78,48,692,3,135.2
2017,Jay Ajayi,2TM,RB,14,208,873,4.2,1,34,24,158,1,135.1
2017,Derrick Henry,TEN,RB,16,176,744,4.23,5,17,11,136,1,135
2017,James White,NWE,RB,14,43,171,3.98,0,72,56,429,3,134
2017,Keelan Cole,JAX,WR,16,0,0,"",0,83,42,748,3,132.8
2017,Jared Cook,OAK,TE,16,0,0,"",0,86,54,688,2,132.8
2017,Martavis Bryant,PIT,WR,15,6,22,3.67,0,84,50,603,3,132.5
2017,Eric Ebron,DET,TE,16,0,0,"",0,86,53,574,4,132.4
2017,Travis Benjamin,LAC,WR,16,13,96,7.38,0,62,34,567,4,130.3
2017,DeVante Parker,MIA,WR,13,0,0,"",0,96,57,670,1,130
