pos,rank_full,rank_full_alt,rank_slim,standard_abs_rk,standard_value_rk,sim_abs_rk,sim_value_rk,exp_points_for,exp_points_ag,ou,spread,abs_spread,salary,points,points_per_salary
WR,86,63.66666667,73.5,91,153,56,44,24.75,18.25,43,6.5,6.5,6300,5.9,0.936507937
WR,56.25,54,62,69,63,55,38,11,32,43,-21,21,4800,4.5,0.9375
WR,106.5,126,170.5,173,48,168,37,23,28,51,-5,5,3200,3,0.9375
WR,101,95,126.5,141,119,112,32,16.75,26.25,43,-9.5,9.5,3300,3.1,0.939393939
TE,42.5,44,34.5,28,38,41,63,15.5,29.5,45,-14,14,3400,3.2,0.941176471
WR,100.75,110.6666667,140.5,141,71,140,51,20,24,44,-4,4,3400,3.2,0.941176471
RB,49,26.66666667,21.5,33,116,10,37,16.5,23.5,40,-7,7,6900,6.5,0.942028986
WR,82,109,83.5,54,1,113,160,19.25,30.25,49.5,-11,11,3600,3.4,0.944444444
WR,73.25,83,67,49,44,85,115,21.5,19,40.5,2.5,2.5,3700,3.5,0.945945946
TE,21.75,20.66666667,14.5,14,25,15,33,19.25,19.25,38.5,0,0,3800,3.6,0.947368421
RB,69.75,74,84,86,57,82,54,21.5,23.5,45,-2,2,4000,3.8,0.95
WR,71.75,55,43.5,50,122,37,78,23.25,21.75,45,1.5,1.5,6300,6,0.952380952
RB,60,65,32,17,45,47,131,22.5,25.5,48,-3,3,6600,6.3,0.954545455
WR,76.75,55.33333333,25.5,31,141,20,115,24.5,22,46.5,2.5,2.5,6700,6.4,0.955223881
RB,44.5,27,34.5,52,97,17,12,22.5,24.5,47,-2,2,4600,4.4,0.956521739
TE,15,17,6.5,5,9,8,38,25.5,27,52.5,-1.5,1.5,4700,4.5,0.957446809
TE,47.75,58,62.5,54,17,71,49,23.25,27.75,51,-4.5,4.5,2600,2.5,0.961538462
WR,88,109.3333333,74,44,24,104,180,23,19.5,42.5,3.5,3.5,5500,5.3,0.963636364
WR,133.75,147.6666667,189,188,92,190,65,26,22.5,48.5,3.5,3.5,3000,2.9,0.966666667
RB,85.5,97.66666667,121,120,49,122,51,24,20.5,44.5,3.5,3.5,3000,2.9,0.966666667
WR,116.25,131,181,181,72,181,31,20,26.5,46.5,-6.5,6.5,3000,2.9,0.966666667
WR,118.5,133,158,153,75,163,83,21.25,27.25,48.5,-6,6,3100,3,0.967741935
WR,51.25,36.33333333,21.5,28,96,15,66,27,25.5,52.5,1.5,1.5,6400,6.2,0.96875
TE,26.75,32,36,33,11,39,24,27,23,50,4,4,3200,3.1,0.96875
TE,30,36,24.5,18,12,31,59,20.5,16.5,37,4,4,3200,3.1,0.96875
WR,83.5,76.33333333,111.5,114,105,109,6,19,25.5,44.5,-6.5,6.5,3500,3.4,0.971428571
WR,121.75,123.3333333,133,127,117,139,104,23,19.5,42.5,3.5,3.5,4000,3.9,0.975
WR,107.25,116,151.5,152,81,151,45,22,19.5,41.5,2.5,2.5,4000,3.9,0.975
TE,16,16.33333333,9.5,9,15,10,30,23.75,28.25,52,-4.5,4.5,4600,4.5,0.97826087
WR,95.75,81.66666667,70.5,78,138,63,104,30.25,17.75,48,12.5,12.5,6300,6.2,0.984126984
TE,25,24.66666667,30.5,32,26,29,13,26,25,51,1,1,2800,2.8,1
TE,15,18.66666667,17.5,16,4,19,21,24.5,21.5,46,3,3,2500,2.5,1
TE,22.5,26.33333333,31,31,11,31,17,19.5,25,44.5,-5.5,5.5,2700,2.7,1
RB,32.75,32.33333333,25,26,34,24,47,16.75,23.75,40.5,-7,7,4700,4.7,1
WR,68,75.66666667,81,78,45,84,65,16.5,29.5,46,-13,13,3300,3.3,1
RB,29.75,23.33333333,12.5,13,49,12,45,21.5,19,40.5,2.5,2.5,4500,4.5,1
TE,21.25,26,29,29,7,29,20,26.75,21.25,48,5.5,5.5,2700,2.7,1
WR,76.5,69.66666667,93.5,97,97,90,22,22.5,25.5,48,-3,3,3000,3,1
WR,45,56,46,33,12,59,76,26.5,21,47.5,5.5,5.5,3100,3.1,1
WR,72.75,65.33333333,93.5,97,95,90,9,13.75,28.75,42.5,-15,15,3500,3.5,1
WR,97.25,90.33333333,119.5,135,118,104,32,23.5,22.5,46,1,1,4200,4.2,1
RB,67.75,61,53.5,53,88,54,76,20.25,23.75,44,-3.5,3.5,4900,4.9,1
TE,28,16,17,28,64,6,14,19,20.5,39.5,-1.5,1.5,3600,3.6,1
WR,97.25,69.66666667,93.5,126,180,61,22,19.5,22.5,42,-3,3,3000,3,1
TE,50.5,47.66666667,62.5,68,59,57,18,17.5,30.5,48,-13,13,2500,2.5,1
RB,69.75,68,96,109,75,83,12,24.75,19.75,44.5,5,5,3700,3.7,1
TE,54.5,46.66666667,69,75,78,63,2,19.25,30.25,49.5,-11,11,2500,2.5,1
WR,108,125.6666667,154,142,55,166,69,16.75,26.25,43,-9.5,9.5,3300,3.3,1
RB,53.75,62.66666667,40,28,27,52,108,30,20,50,10,10,4000,4,1
TE,37,32.66666667,14,13,50,15,70,20,30,50,-10,10,5000,5,1
RB,38,24,14,20,80,8,44,26.75,23.25,50,3.5,3.5,8500,8.6,1.011764706
WR,73.5,37.33333333,54,93,182,15,4,27.5,14,41.5,13.5,13.5,8000,8.1,1.0125
RB,50.25,31.66666667,10,10,106,10,75,17.25,23.25,40.5,-6,6,7900,8,1.012658228
WR,49.75,50,25.5,18,49,33,99,26.75,21.25,48,5.5,5.5,6900,7,1.014492754
TE,29.25,22.66666667,2.5,4,49,1,63,24.5,14.5,39,10,10,6700,6.8,1.014925373
WR,59.25,75.33333333,27.5,19,11,36,171,21.75,24.75,46.5,-3,3,6600,6.7,1.015151515
QB,16.81795058,21.7005814,11.93531977,1,2,21,38,21.5,19,40.5,2.5,2.5,5500,5.6,1.018181818
WR,99.5,85,79.5,81,143,78,96,15.75,26.25,42,-10.5,10.5,5500,5.6,1.018181818
WR,46.25,57.66666667,31,14,12,48,111,21.75,19.25,41,2.5,2.5,5200,5.3,1.019230769
TE,38.5,33.33333333,38,42,54,34,24,21.75,24.75,46.5,-3,3,4600,4.7,1.02173913
RB,44.5,54.66666667,45,35,14,55,74,23,26,49,-3,3,4300,4.4,1.023255814
RB,59.25,49.33333333,50,56,89,44,48,22.75,18.25,41,4.5,4.5,4200,4.3,1.023809524
WR,110.75,138.3333333,140.5,119,28,162,134,20.25,22.75,43,-2.5,2.5,4000,4.1,1.025
WR,52.25,61.33333333,43.5,33,25,54,97,19.25,21.75,41,-2.5,2.5,3700,3.8,1.027027027
RB,55.25,71,71.5,69,8,74,70,21.75,27.25,49,-5.5,5.5,3600,3.7,1.027777778
WR,73.25,41.33333333,39.5,59,169,20,45,20,26,46,-6,6,7200,7.4,1.027777778
RB,38,41.66666667,49,50,27,48,27,20.25,26.25,46.5,-6,6,3200,3.3,1.03125
WR,87.5,66.66666667,83,110,150,56,34,24,22,46,2,2,6300,6.5,1.031746032
WR,54.25,63,67.5,63,28,72,54,29,19.5,48.5,9.5,9.5,3100,3.2,1.032258065
WR,108.25,121,148.5,141,70,156,66,17,21.5,38.5,-4.5,4.5,3100,3.2,1.032258065
WR,142.5,150.6666667,192,190,118,194,68,22,27,49,-5,5,3000,3.1,1.033333333
TE,44.75,57.33333333,51,37,7,65,70,20.25,16.75,37,3.5,3.5,3000,3.1,1.033333333
WR,113.75,119,162.5,165,98,160,32,25,21.5,46.5,3.5,3.5,3000,3.1,1.033333333
QB,27.6337386,24.88652482,21.33130699,24,37,20,33,23.5,27,50.5,-3.5,3.5,6700,6.96,1.03880597
RB,56,47.33333333,25.5,28,82,23,91,23,22,45,1,1,7000,7.3,1.042857143
RB,43.25,35.66666667,3.5,3,66,4,100,25,18.5,43.5,6.5,6.5,6800,7.1,1.044117647
WR,49.25,64.33333333,46.5,27,4,66,100,26.5,21,47.5,5.5,5.5,4200,4.4,1.047619048
RB,75,66.33333333,84.5,88,101,81,30,23.25,26.75,50,-3.5,3.5,4100,4.3,1.048780488
WR,38,27.33333333,4,6,70,2,74,26.5,21,47.5,5.5,5.5,7700,8.1,1.051948052
WR,99.75,100,132,136,99,128,36,25,18.5,43.5,6.5,6.5,3800,4,1.052631579
RB,68.75,71.66666667,81,82,60,80,53,14,24.5,38.5,-10.5,10.5,3700,3.9,1.054054054
QB,20.91732673,16.79383938,24.74092409,35,37,20,1,25.25,19.25,44.5,6,6,5800,6.14,1.05862069
TE,22.5,11.33333333,8,13,56,3,18,22,24.5,46.5,-2.5,2.5,6400,6.8,1.0625
WR,110.25,89,106.5,117,174,96,54,20.75,22.75,43.5,-2,2,4700,5,1.063829787
WR,66,69,80.5,82,57,79,46,23,20,43,3,3,4600,4.9,1.065217391
QB,30.82540761,32.38224638,35.96297554,36,28,41,27,23,18.5,41.5,4.5,4.5,5800,6.18,1.065517241
WR,75.75,73.33333333,98.5,102,83,95,23,25.5,19,44.5,6.5,6.5,3000,3.2,1.066666667
WR,140.25,139.3333333,188.5,187,143,190,41,18.25,22.25,40.5,-4,4,3000,3.2,1.066666667
WR,67,79.66666667,29,16,29,42,181,27.5,21.5,49,6,6,5800,6.2,1.068965517
RB,57.75,59,32,27,54,37,113,18,29,47,-11,11,5500,5.9,1.072727273
RB,62,64.66666667,60,60,54,60,74,18.25,22.75,41,-4.5,4.5,5500,5.9,1.072727273
WR,116.5,104.3333333,126,132,153,120,61,26.25,16.75,43,9.5,9.5,4000,4.3,1.075
WR,49,29,42.5,68,109,17,2,24.25,17.25,41.5,7,7,6500,7,1.076923077
RB,57.75,45.33333333,61.5,74,95,49,13,22.75,20.75,43.5,2,2,5000,5.4,1.08
RB,60.5,45.66666667,59,73,105,45,19,16,24,40,-8,8,4900,5.3,1.081632653
QB,30.26315789,26.47017544,24.69473684,29,43,22,31,23.75,19.25,43,4.5,4.5,6200,6.72,1.083870968
RB,86.75,84.66666667,99.5,100,93,99,55,16.75,20.25,37,-3.5,3.5,4500,4.9,1.088888889
WR,84.5,89,42,24,71,60,183,26,23,49,3,3,6700,7.3,1.089552239
WR,41.25,46.66666667,41,40,25,42,58,21,18.5,39.5,2.5,2.5,4400,4.8,1.090909091
WR,82,98.33333333,73.5,57,33,90,148,18.25,24.75,43,-6.5,6.5,4400,4.8,1.090909091
WR,95.5,70.33333333,100.5,132,171,69,10,18.5,28,46.5,-9.5,9.5,5400,5.9,1.092592593
WR,92.5,117,97,80,19,114,157,28.75,21.25,50,7.5,7.5,3200,3.5,1.09375
WR,75.75,56,19,20,135,18,130,22.75,26.75,49.5,-4,4,6400,7,1.09375
WR,67.5,61.66666667,86.5,96,85,77,12,26,23,49,3,3,3000,3.3,1.1
RB,91.25,98,126,126,71,126,42,30.5,17.5,48,13,13,3000,3.3,1.1
TE,13.25,17.33333333,6,3,1,9,40,26.25,20.25,46.5,6,6,2900,3.2,1.103448276
TE,29.5,27.66666667,38,39,35,37,7,28.75,13.75,42.5,15,15,2900,3.2,1.103448276
WR,40.5,45.66666667,13.5,4,25,23,110,30.75,23.75,54.5,7,7,6700,7.4,1.104477612
WR,125,112.6666667,151.5,159,162,144,35,20.5,24,44.5,-3.5,3.5,3800,4.2,1.105263158
WR,83.75,109,74,33,8,115,179,28.25,23.75,52,4.5,4.5,4700,5.2,1.106382979
TE,51.25,60,64.5,59,25,70,51,28.25,23.75,52,4.5,4.5,2800,3.1,1.107142857
WR,63.25,67.66666667,59.5,50,50,69,84,18.5,21,39.5,-2.5,2.5,4600,5.1,1.108695652
WR,43,22.33333333,4.5,7,105,2,58,25,18,43,7,7,8100,9,1.111111111
RB,60.75,46,66,78,105,54,6,19.25,23.75,43,-4.5,4.5,6300,7,1.111111111
RB,74,69.66666667,78.5,83,87,74,52,19.75,17.75,37.5,2,2,4500,5,1.111111111
RB,26.75,12.33333333,9,13,70,5,19,25.25,19.25,44.5,6,6,7000,7.8,1.114285714
QB,,,,30,39,31,41,22.75,19.75,42.5,3,3,5000,5.62,1.124
WR,103.75,107.3333333,122,116,93,128,78,16.5,23.5,40,-7,7,4800,5.4,1.125
RB,49.5,44.33333333,54.5,58,65,51,24,30,23,53,7,7,4700,5.3,1.127659574
TE,32.5,36.33333333,35.5,36,21,35,38,16.75,20.25,37,-3.5,3.5,3900,4.4,1.128205128
WR,84.75,100.3333333,74,54,38,94,153,15.75,26.25,42,-10.5,10.5,3900,4.4,1.128205128
TE,44.5,46.33333333,45,41,39,49,49,19.25,23.75,43,-4.5,4.5,3800,4.3,1.131578947
WR,126.75,127.6666667,171,170,124,172,41,29.25,19.25,48.5,10,10,3800,4.3,1.131578947
RB,45,43.66666667,44.5,52,49,37,42,22.5,15.5,38,7,7,5300,6,1.132075472
WR,74.25,81.33333333,81.5,83,53,80,81,26,21,47,5,5,5300,6,1.132075472
QB,20.11132813,16.28059896,17.23828125,21,33,15,15,24,25.5,49.5,-1.5,1.5,6500,7.36,1.132307692
WR,55.25,47.33333333,5,7,79,3,132,30.25,19.25,49.5,11,11,8900,10.1,1.134831461
TE,47.75,44.66666667,62,67,57,57,10,20.5,19.5,40,1,1,2900,3.3,1.137931034
RB,44.25,33.33333333,48.5,64,77,33,3,25.5,21.5,47,4,4,3600,4.1,1.138888889
WR,94.5,108,107.5,99,54,116,109,23.25,18.75,42,4.5,4.5,4300,4.9,1.139534884
RB,57.75,50.66666667,22,19,79,25,108,20.5,19.5,40,1,1,7800,8.9,1.141025641
RB,64.75,56.33333333,69.5,74,90,65,30,29,25.5,54.5,3.5,3.5,5600,6.4,1.142857143
TE,27,29.33333333,10.5,6,20,15,67,26.75,24.25,51,2.5,2.5,6300,7.2,1.142857143
RB,36,44.33333333,30.5,18,11,43,72,24.25,17.25,41.5,7,7,5500,6.3,1.145454545
RB,79.5,73,96,102,99,90,27,15.25,24.75,40,-9.5,9.5,4800,5.5,1.145833333
WR,92,118.3333333,145.5,140,13,151,64,22.75,18.25,41,4.5,4.5,3400,3.9,1.147058824
WR,90.75,81,55.5,54,120,57,132,26.75,23.75,50.5,3,3,5400,6.2,1.148148148
RB,56,74,73,67,2,79,76,16.5,29.5,46,-13,13,3200,3.7,1.15625
TE,45.5,54.66666667,62.5,58,18,67,39,22.75,24.25,47,-1.5,1.5,3200,3.7,1.15625
WR,92.25,101.6666667,123,118,64,128,59,21.5,15.5,37,6,6,5100,5.9,1.156862745
WR,94,113.6666667,103.5,89,35,118,134,21.75,17.75,39.5,4,4,4400,5.1,1.159090909
WR,95.25,75,107,130,156,84,11,18,27.5,45.5,-9.5,9.5,5000,5.8,1.16
WR,59.5,64.33333333,7,1,45,13,179,24.75,21.75,46.5,3,3,7700,9,1.168831169
RB,87.75,81,119,120,108,118,5,25,22,47,3,3,3500,4.1,1.171428571
QB,40.9212828,37.20116618,50.22157434,60,56,48,12,24.5,14.5,39,10,10,6000,7.04,1.173333333
RB,79,90.66666667,112,111,44,113,48,23.75,28.25,52,-4.5,4.5,4000,4.7,1.175
WR,55.25,60.66666667,46.5,39,39,54,89,26.5,21,47.5,5.5,5.5,4500,5.3,1.177777778
RB,88,89,106,107,85,105,55,16.25,22.75,39,-6.5,6.5,3900,4.6,1.179487179
TE,34.25,32,20.5,19,41,22,55,24.5,14,38.5,10.5,10.5,4400,5.2,1.181818182
RB,37,30.66666667,18,18,56,18,56,16.5,29.5,46,-13,13,7100,8.4,1.183098592
RB,37,46.66666667,30,15,8,45,80,32,11,43,21,21,6000,7.1,1.183333333
WR,69.5,62.33333333,83.5,90,91,77,20,22.5,25.5,48,-3,3,3700,4.4,1.189189189
WR,116.75,117,149.5,149,116,150,52,24.25,22.75,47,1.5,1.5,3700,4.4,1.189189189
RB,39.75,43,23.5,20,30,27,82,24,20,44,4,4,6800,8.1,1.191176471
WR,42.5,20,28,51,110,5,4,24.75,21.25,46,3.5,3.5,7800,9.3,1.192307692
RB,54.25,42,26,33,91,19,74,19.25,22.75,42,-3.5,3.5,7800,9.3,1.192307692
WR,29.25,25,13,13,42,13,49,24.25,19.25,43.5,5,5,6200,7.4,1.193548387
WR,85.75,76,113.5,117,115,110,1,25.5,21.5,47,4,4,3600,4.3,1.194444444
RB,35,15.33333333,7,11,94,3,32,23.75,19.25,43,4.5,4.5,6100,7.3,1.196721311
WR,139.25,128.3333333,187.5,192,172,183,10,19.5,23,42.5,-3.5,3.5,3000,3.6,1.2
TE,27.5,28,14,13,26,15,56,22.5,25.5,48,-3,3,4900,5.9,1.204081633
RB,74.25,65,85.5,92,102,79,24,23,26,49,-3,3,4400,5.3,1.204545455
RB,53.25,50.66666667,52,60,61,44,48,27,22,49,5,5,5200,6.3,1.211538462
WR,78.75,51.66666667,31,39,160,23,93,23.75,18.25,42,5.5,5.5,6100,7.4,1.213114754
WR,114,122.3333333,124,114,89,134,119,22.75,20.75,43.5,2,2,6000,7.3,1.216666667
TE,20.25,22,12.5,7,15,18,41,20,23,43,-3,3,3200,3.9,1.21875
WR,37.5,45.33333333,33,30,14,36,70,25.5,19,44.5,6.5,6.5,5000,6.1,1.22
TE,48.75,55,74,74,30,74,17,16.25,22.75,39,-6.5,6.5,2700,3.3,1.222222222
WR,96.5,69,100.5,137,179,64,6,26,22.5,48.5,3.5,3.5,5300,6.5,1.226415094
WR,63.25,46.66666667,6,7,113,5,128,24,27.5,51.5,-3.5,3.5,7300,9,1.232876712
WR,120.5,130.6666667,174,176,90,172,44,28.25,22.75,51,5.5,5.5,3000,3.7,1.233333333
RB,71.25,81.33333333,95.5,96,41,95,53,21.75,23.25,45,-1.5,1.5,3000,3.7,1.233333333
RB,72.5,94.66666667,80.5,54,6,107,123,19.75,24.75,44.5,-5,5,4700,5.8,1.234042553
TE,16.5,13.66666667,3,2,25,4,35,22.5,23.5,46,-1,1,6800,8.4,1.235294118
TE,19,11.66666667,17,27,41,7,1,26,25,51,1,1,5000,6.2,1.24
WR,39.25,36.33333333,38.5,48,48,29,32,24.75,21.25,46,3.5,3.5,5000,6.2,1.24
TE,20,21,21.5,21,17,22,20,27,17,44,10,10,2900,3.6,1.24137931
WR,112.5,104.6666667,148,162,136,134,18,27.5,16.5,44,11,11,4100,5.1,1.243902439
TE,25.5,31.33333333,9.5,5,8,14,75,24,20.5,44.5,3.5,3.5,5700,7.1,1.245614035
QB,32.04587438,36.6615353,37.58466749,44,23,51,44,20.75,19.75,40.5,1,1,4800,5.98,1.245833333
QB,44.78700516,51.23780838,52.52796902,44,23,51,44,20.75,19.75,40.5,1,1,4800,5.98,1.245833333
RB,51.5,51,70.5,74,53,67,12,21.5,25,46.5,-3.5,3.5,4000,5,1.25
WR,122.5,119,159.5,163,133,156,38,20.75,19.75,40.5,1,1,3600,4.5,1.25
RB,63.75,68,46.5,41,51,52,111,22.25,18.25,40.5,4,4,4800,6,1.25
RB,94,98.66666667,105.5,100,80,111,85,24.25,17.25,41.5,7,7,4400,5.5,1.25
TE,54.25,46.66666667,67.5,76,77,59,5,28.5,17.5,46,11,11,3200,4,1.25
QB,54.94642857,46.92592593,68.23412698,55,55,40,3,15.75,26.25,42,-10.5,10.5,4900,6.14,1.253061224
WR,95,95,87.5,91,95,84,110,24.25,26.75,51,-2.5,2.5,4700,5.9,1.255319149
RB,72.25,88.66666667,83.5,71,23,96,99,18,29,47,-11,11,3500,4.4,1.257142857
WR,53.75,69,54.5,42,8,67,98,24.25,19.75,44,4.5,4.5,3100,3.9,1.258064516
TE,43.5,46.66666667,48.5,46,34,51,43,19.75,16.75,36.5,3,3,3100,3.9,1.258064516
WR,70.5,75.33333333,26,17,56,35,174,16,28,44,-12,12,5400,6.8,1.259259259
TE,31,28,6,1,40,11,72,18.75,26.25,45,-7.5,7.5,6100,7.7,1.262295082
WR,39.25,16.66666667,12.5,21,107,4,25,24.25,17.25,41.5,7,7,7600,9.6,1.263157895
TE,36.5,41.33333333,42.5,41,22,44,39,19.75,23.25,43,-3.5,3.5,3800,4.8,1.263157895
WR,99.75,78,108.5,129,165,88,17,22.25,25.75,48,-3.5,3.5,4900,6.2,1.265306122
WR,73.25,61.66666667,88,101,108,75,9,23.75,22.75,46.5,1,1,3000,3.8,1.266666667
RB,62.75,64.33333333,53.5,49,58,58,86,22.5,24.5,47,-2,2,5600,7.1,1.267857143
WR,93.75,92.66666667,67,60,97,74,144,23.5,22.5,46,1,1,5200,6.6,1.269230769
WR,93.25,111.3333333,152.5,157,39,148,29,28.75,15.25,44,13.5,13.5,3700,4.7,1.27027027
WR,84.75,54.66666667,58,78,175,38,48,13.25,23.75,37,-10.5,10.5,6200,7.9,1.274193548
WR,61.5,42,25.5,35,120,16,75,19.25,23.75,43,-4.5,4.5,5800,7.4,1.275862069
WR,62.5,73.66666667,25.5,9,29,42,170,18.5,23,41.5,-4.5,4.5,5800,7.4,1.275862069
RB,50,55.33333333,55.5,53,34,58,55,27.25,20.25,47.5,7,7,3600,4.6,1.277777778
RB,86.25,77,111,116,114,106,9,21.75,24.75,46.5,-3,3,4300,5.5,1.279069767
WR,84,98.66666667,85.5,71,40,100,125,26.25,16.75,43,9.5,9.5,3200,4.1,1.28125
WR,104.25,96,131,136,129,126,26,23.25,18.75,42,4.5,4.5,3900,5,1.282051282
RB,62.75,68.33333333,74,75,46,73,57,26,20,46,6,6,4600,5.9,1.282608696
WR,88.75,87.33333333,73.5,67,93,80,115,19.75,25.25,45,-5.5,5.5,6300,8.1,1.285714286
WR,128.25,122,176,176,147,176,14,26,23,49,3,3,3500,4.5,1.285714286
WR,52.75,36.33333333,51.5,73,102,30,6,24.25,17.25,41.5,7,7,5900,7.6,1.288135593
WR,41,30.66666667,5.5,5,72,6,81,29.25,14.75,44,14.5,14.5,7600,9.8,1.289473684
RB,44.75,43.66666667,40,48,48,32,51,20,30,50,-10,10,5800,7.5,1.293103448
QB,31.15234375,37.59765625,36.5234375,26,11,42,37,20,16,36,4,4,5700,7.38,1.294736842
RB,58.25,46,58.5,69,95,48,21,19.5,20.5,40,-1,1,5700,7.4,1.298245614
QB,26.82068452,34.1167328,19.11359127,6,4,25,52,18,23,41,-5,5,5000,6.5,1.3
WR,121.25,151,171,164,32,178,111,19.5,22.5,42,-3,3,3000,3.9,1.3
WR,107,117.3333333,117.5,111,76,124,117,22,25,47,-3,3,5000,6.5,1.3
WR,97.5,110,122,116,60,128,86,28.75,15.25,44,13.5,13.5,3000,3.9,1.3
RB,87.5,92.33333333,124,124,73,124,29,17.5,30.5,48,-13,13,4300,5.6,1.302325581
RB,65.75,80.33333333,57.5,43,22,72,126,24.5,20.5,45,4,4,4900,6.4,1.306122449
QB,44.65250965,47.13320463,57.05598456,51,30,41,22,19.75,20.75,40.5,-1,1,4100,5.36,1.307317073
TE,51,58,72,72,30,72,30,20.5,21.5,42,-1,1,2600,3.4,1.307692308
RB,79.75,96,107.5,101,31,114,73,28.75,21.25,50,7.5,7.5,4200,5.5,1.30952381
WR,99.25,82.66666667,106,124,149,88,36,27.5,24.5,52,3,3,4500,5.9,1.311111111
WR,42.5,27.33333333,11.5,20,88,3,59,27.5,18,45.5,9.5,9.5,7700,10.1,1.311688312
WR,95.75,69.33333333,84.5,106,175,63,39,17.25,25.25,42.5,-8,8,6400,8.4,1.3125
QB,23.09516275,17.066305,11.13019892,15,37,5,26,19.75,24.75,44.5,-5,5,6000,7.88,1.313333333
RB,61.75,63.66666667,48,46,56,50,95,27.5,16.5,44,11,11,7000,9.2,1.314285714
QB,18.72800926,24.6869213,21.2818287,14,1,36,37,22.75,26.25,49,-3.5,3.5,5300,7,1.320754717
WR,93.25,63.66666667,87,118,182,56,17,26,29,55,-3,3,5300,7,1.320754717
WR,60.25,52.33333333,52.5,59,84,46,52,21,26.5,47.5,-5.5,5.5,5600,7.4,1.321428571
WR,84.75,70.66666667,67,81,127,53,78,26.75,24.25,51,2.5,2.5,5900,7.8,1.322033898
TE,19.5,13.33333333,18.5,27,38,10,3,20.25,23.25,43.5,-3,3,3100,4.1,1.322580645
RB,55.25,62,36,32,35,40,114,27.25,16.75,44,10.5,10.5,7100,9.4,1.323943662
RB,72.75,88,86.5,79,27,94,91,19.75,20.75,40.5,-1,1,3700,4.9,1.324324324
TE,40.75,44,42.5,43,31,42,47,26.75,22.75,49.5,4,4,4300,5.7,1.325581395
WR,66.75,82.33333333,36,19,20,53,175,22.75,19.75,42.5,3,3,5500,7.3,1.327272727
WR,53.75,54.66666667,43,40,51,46,78,21.5,19,40.5,2.5,2.5,6100,8.1,1.327868852
TE,24.25,27,33,33,16,33,15,27,17.5,44.5,9.5,9.5,2700,3.6,1.333333333
WR,48.75,29.33333333,30,43,107,17,28,33.5,15,48.5,18.5,18.5,6900,9.2,1.333333333
WR,68.25,79.33333333,59.5,48,35,71,119,20.25,23.25,43.5,-3,3,4500,6,1.333333333
QB,32.49854227,31.12536443,28.37900875,33,40,29,40,24.5,20.5,45,4,4,6400,8.54,1.334375
RB,53.75,49.33333333,36.5,40,67,33,75,15.5,21.5,37,-6,6,5900,7.9,1.338983051
TE,43.25,48,52.5,50,29,55,39,18.25,16.75,35,1.5,1.5,2900,3.9,1.344827586
RB,35.5,28,20,21,58,19,44,19.75,17.25,37,2.5,2.5,5200,7,1.346153846
WR,65.25,51.33333333,8,9,107,7,138,24.75,21.75,46.5,3,3,6900,9.3,1.347826087
WR,106.75,120.6666667,136,126,65,146,90,24,20.5,44.5,3.5,3.5,4500,6.1,1.355555556
WR,89,76.33333333,64.5,74,127,55,100,26.75,23.75,50.5,3,3,5600,7.6,1.357142857
TE,36.25,35.66666667,30,30,38,30,47,20,26.5,46.5,-6.5,6.5,3900,5.3,1.358974359
RB,27.5,27.66666667,4,1,27,7,75,19,25.5,44.5,-6.5,6.5,6400,8.7,1.359375
RB,70.5,62,90.5,106,96,75,5,26,20,46,6,6,4400,6,1.363636364
WR,132,134,182.5,183,126,182,37,21.5,27.5,49,-6,6,3000,4.1,1.366666667
RB,54,57,25.5,20,45,31,120,25.25,19.75,45,5.5,5.5,6000,8.2,1.366666667
WR,106.75,141.6666667,135,108,2,162,155,18.5,22.5,41,-4,4,3000,4.1,1.366666667
WR,59,42.66666667,62.5,93,108,32,3,21,26.5,47.5,-5.5,5.5,4600,6.3,1.369565217
RB,59.25,69.66666667,72,69,28,75,65,17.75,21.75,39.5,-4,4,4300,5.9,1.372093023
WR,60.5,72.33333333,83,79,25,87,51,23.25,20.25,43.5,3,3,3200,4.4,1.375
WR,73.5,61,40,45,111,35,103,22.75,20.25,43,2.5,2.5,6900,9.5,1.376811594
RB,32.5,35.33333333,16,7,24,25,74,27.25,20.25,47.5,7,7,6600,9.1,1.378787879
TE,21.5,24.33333333,25,23,13,27,23,17.25,24.25,41.5,-7,7,2900,4,1.379310345
RB,62,77.33333333,84,75,16,93,64,26.75,17.25,44,9.5,9.5,3400,4.7,1.382352941
RB,40.5,36.33333333,8.5,6,53,11,92,23.5,21.5,45,2,2,6000,8.3,1.383333333
TE,20.75,23,26,24,14,28,17,19.25,25.25,44.5,-6,6,2600,3.6,1.384615385
TE,25.5,21.66666667,30.5,37,37,24,4,25.25,22.25,47.5,3,3,2600,3.6,1.384615385
WR,86.5,81.33333333,107,126,102,88,30,23.5,21.5,45,2,2,3900,5.4,1.384615385
TE,59.5,56.66666667,77,79,68,75,16,27.75,23.25,51,4.5,4.5,2600,3.6,1.384615385
WR,102,111.3333333,132.5,127,74,138,69,25,22,47,3,3,3900,5.4,1.384615385
WR,107,138.3333333,163.5,151,13,176,88,27,22,49,5,5,3100,4.3,1.387096774
TE,35.5,40,36.5,34,22,39,47,21.25,27.25,48.5,-6,6,3100,4.3,1.387096774
RB,41.5,50.66666667,48.5,44,14,53,55,21,18.5,39.5,2.5,2.5,3600,5,1.388888889
RB,47,53,71,74,29,68,17,27,25.5,52.5,1.5,1.5,4100,5.7,1.390243902
TE,20.5,20.66666667,14.5,11,20,18,33,22.75,17.75,40.5,5,5,3300,4.6,1.393939394
