Position,Name,Salary,TeamAbbrev,AvgPointsPerGame,QBMatcher
DEF,KC,2500,KC,2,0
DEF,ARI,2700,ARI,0,0
DEF,GB,3400,GB,13,0
DEF,LAC,2500,LAC,4,0
DEF,DAL,4300,DAL,12,0
DEF,NE,3800,NE,11,0
DEF,MIN,3300,MIN,7,0
DEF,DET,2200,DET,13,0
DEF,NO,2200,NO,14,0
DEF,PIT,2300,PIT,11,0
QB,"Mahomes II, Patrick",7600,KC,30.86,0
QB,"Jackson, Lamar",7000,BAL,21.28,0
QB,"Watson, Deshaun",6400,HOU,29.84,0
QB,"Prescott, Dak",6500,DAL,23.54,0
QB,"Ryan, Matt",5700,ATL,26.46,0
WR,"Thomas, Michael",7400,NO,16.4,0
WR,"Jones, Julio",7300,ATL,29.8,0
WR,"Allen, Keenan",7000,LAC,46.6,0
WR,"Thielen, Adam",6700,MIN,20.6,0
WR,"Diggs, Stefon",6000,MIN,4.5,0
WR,"Smith-Schuster, JuJu",6900,PIT,17.1,0
WR,"Hilton, T.Y.",6400,IND,20.5,0
WR,"Watkins, Sammy",6800,KC,11.4,0
WR,"Goodwin, Marquise",5000,SF,6.1,2
WR,"Fuller, Will",4900,HOU,10.1,2
WR,"Williams, Mike",4900,LAC,7.5,2
WR,"Sanders, Emmanuel",4800,DEN,3,2
WR,"Anderson, Robby",4800,NYJ,4.1,2
TE,"Andrews, Mark",4600,BAL,4.5,0
TE,"McDonald, Vance",4300,PIT,2,0
TE,"Howard, O.J.",3800,TB,9.6,0
TE,"Ebron, Eric",3800,IND,7.7,0
TE,"Olsen, Greg",3700,CAR,25.5,0
RB,"Elliott, Ezekiel",8900,DAL,18.9,0
RB,"McCaffrey, Christian",8700,CAR,30.8,0
RB,"Kamara, Alvin",8000,NO,37.1,0
RB,"Conner, James",6400,PIT,8.7,1
RB,"Jones, Aaron",6100,GB,15.3,1
RB,"Michel, Sony",6000,NE,7.1,1
RB,"Carson, Chris",5900,SEA,5.1,1
RB,"Mack, Marlon",5800,IND,16.8,1
RB,"Mixon, Joe",5500,CIN,17.5,2
RB,"Breida, Matt",5400,SF,10.8,2
RB,"Barber, Peyton",4600,TB,7.5,2
RB,"McCoy, LeSean",5000,KC,23,2
RB,"Mostert, Raheem",4700,SF,6.9,2
TE,"Hooper, Austin",3600,ATL,24.6,1
WR,"Ridley, Calvin",5300,ATL,1.6,1
WR,"Sanu, Mohamed",3900,ATL,13.7,1
WR,"Brown, Marquise",5900,BAL,6.9,1
WR,"Snead, Willie",4200,BAL,7.7,1
WR,"Moore, Chris",3200,BAL,0,1
TE,"Witten, Jason",3700,DAL,8.4,1
WR,"Cooper, Amari",7500,DAL,26.8,1
WR,"Cobb, Randall",4600,DAL,4.3,1
WR,"Smith, Devin",3400,DAL,5.9,1
TE,"Akins, Jordan",2700,HOU,22.3,1
WR,"Hopkins, DeAndre",7800,HOU,12.7,1
WR,"Stills, Kenny",3900,HOU,12.9,1
TE,"Kelce, Travis",7100,KC,15.9,1
WR,"Robinson, Demarcus",5200,KC,13.3,1
WR,"Hardman, Mecole",5000,KC,18.4,1
