Position,Name,Salary,TeamAbbrev,AvgPointsPerGame,QBMatcher
DEF,NYG,2500,NYG,2,0
DEF,DEN,2700,DEN,1,0
DEF,WAS,2300,WAS,2,0
DEF,JAC,2400,JAC,8,0
DEF,HOU,2800,HOU,10,0
DEF,OAK,2000,OAK,3,0
DEF,NE,3700,NE,37,0
DEF,PIT,2400,PIT,7,0
DEF,CIN,2600,CIN,-2,0
DEF,IND,2500,IND,5,0
QB,"Mahomes II, Patrick",7500,KC,35.62,0
QB,"Jackson, Lamar",6700,BAL,33.88,0
QB,"Brees, Drew",6200,NO,0.52,0
QB,"Roethlisberger, Ben",5800,PIT,3,0
QB,"Goff, Jared",5900,LA,20.12,0
WR,"Watkins, Sammy",7200,KC,10.9,0
WR,"Thielen, Adam",7100,MIN,12.5,0
WR,"Brown, Antonio",7000,NE,16.1,0
WR,"Diggs, Stefon",6300,MIN,10.9,0
WR,"Hilton, T.Y.",6800,IND,14.3,0
WR,"Boyd, Tyler",6500,CIN,25.2,0
WR,"Fuller, Will",5300,HOU,8,0
WR,"Woods, Robert",6400,LA,6.2,0
WR,"Jones, Marvin",4900,DET,9.3,2
WR,"Sanders, Emmanuel",4700,DEN,28.8,2
WR,"Fitzgerald, Larry",4600,ARI,18.4,2
WR,"Cobb, Randall",4500,DAL,8.5,2
WR,"Kirk, Christian",4500,ARI,20.4,2
TE,"Cook, Jared",4700,NO,4.5,0
TE,"McDonald, Vance",3900,PIT,22.8,0
TE,"Andrews, Mark",3800,BAL,28.2,0
TE,"LaCosse, Matt",2700,NE,5.3,0
TE,"Ebron, Eric",3800,IND,11.5,0
RB,"Barkley, Saquon",9200,NYG,25.5,0
RB,"Elliott, Ezekiel",8700,DAL,23,0
RB,"Kamara, Alvin",8200,NO,7,0
RB,"Conner, James",6800,PIT,13.5,0
RB,"Carson, Chris",6400,SEA,10.7,1
RB,"Fournette, Leonard",6300,JAC,12.7,1
RB,"Michel, Sony",6200,NE,13.5,1
RB,"Ekeler, Austin",6100,LAC,24.3,1
RB,"Henry, Derrick",6000,TEN,17.3,1
RB,"Jones, Aaron",5400,GB,28,2
RB,"Bernard, Giovani",5300,CIN,2.3,2
RB,"Breida, Matt",5200,SF,17.2,2
RB,"White, James",5100,NE,11.9,2
RB,"Johnson, Duke",5000,HOU,3.1,2
WR,"Brown, Marquise",5000,BAL,16.6,1
WR,"Snead, Willie",4500,BAL,1.5,1
WR,"Boykin, Miles",3200,BAL,2.1,1
TE,"Kelce, Travis",7300,KC,26.7,1
WR,"Hardman, Mecole",4800,KC,16.1,1
WR,"Robinson, Demarcus",3500,KC,38.2,1
TE,"Higbee, Tyler",2900,LA,4.1,1
WR,"Cooks, Brandin",6300,LA,16.6,1
WR,"Kupp, Cooper",6000,LA,20.6,1
WR,"Thomas, Michael",8000,NO,18.9,1
WR,"Ginn Jr., Ted",4000,NO,0,1
WR,"Smith, TreQuan",3700,NO,7.9,1
WR,"Smith-Schuster, JuJu",7500,PIT,13.4,1
WR,"Moncrief, Donte",4000,PIT,0,1
WR,"Washington, James",3600,PIT,4.3,1
