var,cush,sep,tay,tay_percent,rec,tar,yac_per_r,td
0.49,6.1,2.9,9.2,27.58,83,122,5.5,8
0.51,5.6,2.9,8.9,25.12,103,150,5.8,10
0.35,5.4,3.1,9.3,26.99,97,136,4.5,5
0.47,4.4,2.3,12.7,35.17,78,151,3,4
0.37,4.6,2.1,13.6,43.87,96,174,3.7,13
0.37,4.9,2.5,11.9,44.04,115,163,3.7,11
0.42,5,2.7,10.3,34.37,104,150,3.9,7
0.60,6.2,3.1,7.4,15.13,72,104,5.5,4
0.57,6.5,2.5,10.8,14.98,35,76,6,3
0.60,6.5,2.4,9.7,19.34,58,105,6.2,4
0.49,4.6,2.4,14.2,36.14,72,115,3.1,6
0.61,7.1,3.2,11.2,11.64,35,50,7.9,6
0.66,7,3.5,11,23,67,93,3.6,2
0.94,6,3.1,11.5,12.73,29,48,2.9,4
0.47,5.2,2.8,11.4,39.16,101,169,5.2,10
0.37,6.2,3,11.5,33.29,77,124,4.5,6
0.48,5.5,2.6,13.3,39.01,74,133,4.6,4
0.62,7.1,2.8,13.4,30.87,78,117,4.6,8
0.58,5.2,2.7,15.1,32.86,65,114,3.9,7
0.43,5.7,2.7,12.9,30.8,80,117,4.5,5
0.64,5.9,2.4,15.1,22.25,44,80,3.3,6
0.57,5.3,2.5,10.2,13.56,57,81,2.6,8
0.50,5.4,2.8,10.7,25.82,73,117,3.2,3
0.67,4.8,2.5,14.4,24.67,39,70,5.2,8
0.72,5.5,3.5,8.4,8.7,40,55,6.2,3
1.02,5.3,2.9,9.6,18.51,52,90,5.9,3
0.56,5.7,1.8,12.7,24.7,63,118,3.5,7
0.64,4.6,2.9,12.3,26.03,75,121,5.4,12
0.50,5.6,2.8,9.4,27.93,74,117,5,10
0.24,4.8,3,11.3,33.97,111,169,4.6,13
0.40,5.6,3.2,10,26.56,83,127,5,5
0.43,5.8,2.9,6.5,21.64,94,131,6.5,4
0.34,5.7,3.2,6.1,20.7,112,161,4.8,9
0.50,5.7,3.3,10.8,30.3,81,149,3.8,4
0.54,5.7,2.6,9.8,29.93,83,138,5.5,6
0.32,5.8,2.6,8.4,15.29,61,85,4.2,1
0.62,5.8,3.4,9.9,22,66,110,3.9,13
0.50,5.8,2.2,15.5,44.04,96,173,1.9,12
0.46,5.3,2.1,14.2,31.78,71,136,2.1,5
0.47,5.7,2.1,15.7,32.83,86,138,3.8,8
0.73,5.3,2.4,15.3,28.34,67,118,4.3,8
0.64,4.6,1.9,14.1,38.96,73,151,2.8,6
0.63,5.5,2,11.9,25.01,55,94,4.5,4
0.47,5.1,2.2,11.1,39.2,98,154,3.1,7
0.40,6.3,2.6,11.9,22.8,63,105,5.5,3
0.51,5.8,2.7,10.9,26.12,56,96,5.4,3
0.58,4.6,2.6,10.1,27,83,132,5.5,5
0.93,4.5,2.6,11.3,24.02,48,96,6.6,7
0.93,6,2.9,9.9,28.97,75,107,5.7,7
0.65,5.4,2.6,12.8,28.66,79,119,3.3,8
0.61,4.9,2.3,12.5,27.76,56,87,4.3,4
0.45,5,2.1,13.8,33.11,72,128,4.2,9
0.62,5.8,3,10.2,18.33,62,95,5.3,8
0.61,6.2,3.5,10.5,23.11,64,97,6,4
0.63,5.5,2.8,9.1,24.84,84,112,3.5,3
0.67,6.6,2.8,11.5,27.38,64,95,4.8,8
0.51,5.9,2.7,8.9,29.56,102,149,4.3,9
0.71,4.6,2.5,14.9,41.27,63,94,5.1,6
0.53,5.4,3.1,7.2,26.69,90,117,6.9,3
0.71,5.7,2.4,10.4,19.15,66,97,4.3,4
0.58,6.7,3.6,8.7,15.01,67,99,5.6,7
0.68,6.5,3.2,7.4,18.11,66,103,5.8,3
0.69,6,3,7.9,24.13,78,122,4.7,6
0.57,6.5,3.6,6.1,9.66,76,105,5.7,5
0.82,5.9,2.6,16.1,17.44,36,69,4.2,6
0.61,6.6,2.5,12.9,34.63,63,111,4.8,8
0.51,5,2.3,12.7,24.21,44,79,1.8,4
0.79,5.9,2.9,18.3,20.38,34,74,4.8,6
0.64,5,2.3,14.3,30.35,47,90,5.4,5
0.49,5.7,2.5,12.2,28.34,69,119,6.7,7
0.53,5,2.6,13.5,27.31,42,64,5,6
0.73,5.3,2.9,13.9,16.96,29,54,3.2,5
0.34,6.6,3.3,13.5,24.4,57,70,4.2,10
0.66,6.3,3.2,12.8,30.09,82,110,4,8
0.49,5.3,2.7,9.3,19.99,65,105,4.2,8
0.75,5.2,2.4,8.8,16.92,59,84,5.5,2
0.54,5.9,3.1,10.4,25.98,66,107,5.1,4
0.43,5.7,3.1,9.9,17.27,57,83,3.3,3
0.58,5.6,3.2,6.7,11.26,71,88,3.5,4
0.47,5.7,3.5,6.8,12.31,75,97,4.5,6
0.67,6.4,3.4,12.8,38.46,63,114,5.1,7
0.81,6.4,2.3,16.5,33.6,50,94,3.6,6
0.48,4.8,2.4,8.4,20.03,92,121,5,9
0.38,5.7,2.6,9.3,41.35,104,148,4.6,5
0.53,4.6,2.7,7.7,30.26,125,147,4.1,9
0.36,5.2,2.6,8.1,41.34,149,185,4.1,9
