player,fantpos,espn_rank,draft_year,height,weight,armlength,handsize,forty,ten_split,bench,vertical,broad,shuttle,cone,clust
Jacoby Brissett,QB,68,2000,76,235,32.25,9.75,4.94,1.79,18,31,113,4.53,7.17,5
Jeff Driskel,QB,49,2000,76,233,33.5,9.75,4.56,1.65,18,32,122,4.25,7.19,5
Nick Foles,QB,84,2000,78,243,34.25,10.625,5.09,1.81,19,32,110,4.73,7.19,5
Mason Rudolph,QB,79,2000,77,235,32.375,9.125,4.9,1.71,18,27.25,107,4.61,7.55,5
Carlos Hyde,RB,88,2000,72,229,32,9.625,4.66,1.69,19,34.5,114,4.36,7.13,5
DeVante Parker,WR,92,2000,75,216,33.25,9.25,4.45,1.51,17,36.5,125,4.16,6.81,5
Tevin Coleman,RB,78,2000,73,210,32,8.625,4.45,1.57,22,33.78,117,4.16,6.81,5
Mike Gesicki,TE,83,2000,78,245,34.125,10.25,4.54,1.56,22,41,129,4.1,6.76,5
Hunter Renfrow,WR,39,2000,70,184,29.125,7.875,4.59,1.61,7,35,116,4.19,6.8,5
Mike Wallace,WR,58,2000,72,200,31.441,9.33,4.33,1.56,14,40,129,4.27,6.9,5
Tyler Boyd,WR,84,2000,74,203,32,9.75,4.58,1.59,11,34,119,4.35,6.9,5
Giovani Bernard,RB,73,2000,69,205,28,9.375,4.53,1.56,19,33.5,122,4.12,6.91,5
Duke Johnson,RB,78,2000,69,210,30.375,9.25,4.55,1.62,18,34.25,121,4.21,6.93,5
Gerald Everett,TE,73,2000,75,240,33,8.5,4.6,1.61,22,37.5,126,4.33,6.99,5
Kenyan Drake,RB,70,2000,73,211,31.75,9.75,4.45,1.64,10,34.5,123,4.21,7.04,5
Michael Gallup,WR,69,2000,73,205,31.5,9.25,4.51,1.61,10,36,125,4.47,7.05,5
Jermaine Gresham,TE,92,2000,77,260,34.75,9.625,4.72,1.63,20,35,113,4.53,7.07,5
Jamison Crowder,WR,64,2000,69,177,30.375,8.75,4.54,1.66,10,37,119,4.32,7.11,5
Dwayne Allen,TE,83,2000,75,265,33,9.625,4.89,1.73,27,32,110,4.37,7.12,5
Foster Moreau,TE,64,2000,76,253,33.5,9.625,4.66,1.63,22,36.5,121,4.11,7.16,5
Marcedes Lewis,TE,89,2000,78,267,34.061,10.107,4.84,1.67,23,37,118,4.71,7.24,5
Dede Westbrook,WR,52,2000,72,178,30.625,9,4.44,1.59,8,34.5,120,4.39,7.25,5
Blake Jarwin,TE,38,2000,77,260,34,10,4.78,1.63,21,34.5,121,4.44,7.49,5
Andre Ellington,RB,77,2000,69,200,31,9.375,4.61,1.57,16,34,122,4.31,7.05,4
Geno Smith,QB,89,2000,75,221,32.5,9.25,4.59,1.62,17,33.5,124,4.29,7.02,4
Blaine Gabbert,QB,96,2000,76,235,33,10,4.66,1.62,18,33.5,120,4.26,6.84,4
Jimmy Garoppolo,QB,82,2000,74,225,31,9.25,4.97,1.78,18,30.5,110,4.26,7.04,4
Mark Sanchez,QB,95,2000,74,225,32.875,10.5,5,1.77,18,32.5,116,4.21,7.06,4
EJ Manuel,QB,76,2000,76,237,33.188,9.848,4.65,1.67,19,34,118,4.21,7.08,4
Trey Burton,TE,39,2000,75,235,31,9.375,4.62,1.62,18,31.5,113,4.34,7.1,4
Paxton Lynch,QB,85,2000,79,244,34.25,10.25,4.86,1.69,19,36,118,4.26,7.14,4
Ian Thomas,TE,71,2000,76,260,32.5,10,4.74,1.63,20,36,123,4.2,7.15,4
Mike Glennon,QB,77,2000,78,225,33.125,9.625,4.94,1.74,18,26.5,102,4.52,7.49,4
Matt Schaub,QB,80,2000,78,245,31.75,10.375,5.06,1.77,19,30.5,110,4.62,7.65,4
Matt Barkley,QB,87,2000,74,234,30.625,10,4.95,1.8,18,35.91,124,4.63,7.58,4
David Montgomery,RB,75,2000,70,222,31.375,9.25,4.63,1.62,15,28.5,121,4.33,7.09,4
Dwayne Haskins,QB,90,2000,75,231,33.25,9.625,5.04,1.76,0,28.5,99,4.71,0,4
Jerick McKinnon,RB,51,2000,69,205,30.25,8.625,4.41,1.55,32,40.5,132,4.12,6.83,4
Mohamed Sanu,WR,68,2000,74,240,33.5,10.125,4.63,1.64,19,36,126,4.24,6.88,4
John Brown,WR,59,2000,71,178,30.5,8.5,4.34,1.56,8,36.5,119,4.12,6.91,4
Kendall Wright,WR,89,2000,70,185,30.5,8.625,4.54,1.64,4,38.5,121,4.18,6.93,4
Lance Kendricks,TE,81,2000,75,250,32,9.625,4.69,1.65,25,36.5,122,4.15,6.94,4
Nyheim Hines,RB,69,2000,69,198,30.75,8.875,4.38,1.52,11,34.75,120,4.34,7.07,4
Vance McDonald,TE,78,2000,76,267,34.375,10.125,4.69,1.71,31,33.5,119,4.53,7.08,4
Diontae Johnson,WR,66,2000,70,183,30.75,9,4.53,1.59,15,33.5,123,4.45,7.09,4
Ryan Izzo,TE,57,2000,77,255,32.125,9,4.93,1.72,18,33,110,4.43,7.15,4
Kenny Stills,WR,55,2000,73,202,30.5,9,4.38,1.54,16,33.5,124,4.27,7.18,4
Hayden Hurst,TE,88,2000,76,245,32.75,9.75,4.67,1.63,16,31.75,120,4.37,7.19,4
Jamaal Williams,RB,62,2000,72,213,31.25,10,4.59,1.63,18,31.5,123,4.42,7.21,4
Allen Hurns,WR,38,2000,73,208,32,9.25,4.57,1.61,14,31,120,4.47,7.23,4
Isaiah Crowell,RB,37,2000,71,225,31.375,9.25,4.57,1.55,23,38,116,4.61,7.33,4
Jonnu Smith,TE,67,2000,75,248,32.875,9.25,4.62,1.66,22,38,127,4.18,7.48,4
Jesse James,TE,41,2000,79,261,33,9.375,4.79,1.73,26,37.5,121,4.5,7.53,4
Kenny Britt,WR,88,2000,75,230,34,9,4.54,1.59,23,37,124,4.47,7.32,4
Ryan Finley,QB,88,2000,76,213,32.875,9.5,4.73,1.66,0,30.5,116,4.2,0,4
Colt McCoy,QB,86,2000,73,210,31.878,9.375,4.79,1.66,16,33.78,114,4.48,7.33,3
Kevin Hogan,QB,52,2000,75,218,32.375,10.25,4.78,1.64,17,32.5,113,4.31,6.9,3
Brian Hoyer,QB,60,2000,74,216,32.314,9.5,5.05,1.73,17,32,109,4.42,7.1,3
Nick Boyle,TE,49,2000,76,270,33.375,10.375,5.05,1.76,21,30.5,112,4.23,7.13,3
Chad Henne,QB,90,2000,75,222,32.751,9,4.92,1.7,17,25.5,106,4.4,7.17,3
DeShone Kizer,QB,82,2000,76,235,33.125,9.875,4.83,1.72,18,30.5,107,4.53,7.4,3
Brandon Weeden,QB,86,2000,75,227,31.75,9.625,4.94,1.71,18,32,102,4.5,7.41,3
Jeff Heuerman,TE,69,2000,77,255,33.25,10.125,4.86,1.68,26,34.5,120,4.54,7.44,3
Mike Williams,WR,97,2000,76,220,33.375,9.375,4.59,1.71,15,32.5,121,4.29,7.02,3
Jonathan Stewart,RB,95,2000,70,245,32.625,9.375,4.48,1.54,28,36.5,128,4.19,6.86,3
Tommy Sweeney,TE,63,2000,76,251,32.75,9.75,4.83,1.69,17,37.72,130,4.51,7.39,3
Anthony Miller,WR,84,2000,71,190,31.625,10,4.55,1.62,22,39,125,4.31,6.7,3
Brandon LaFell,WR,77,2000,75,210,32.75,9.875,4.62,1.64,11,36,115,4.23,6.81,3
Nelson Agholor,WR,89,2000,72,198,32.25,9.25,4.42,1.59,12,36.5,125,4.39,6.88,3
Royce Freeman,RB,73,2000,72,238,32,9.5,4.54,1.6,17,34,118,4.16,6.9,3
Dion Lewis,RB,72,2000,68,195,28.125,8.75,4.57,1.58,17,34.5,112,4.18,6.9,3
