season,week,weekday,game_date,game_hour,favorite,underdog,spread,total
2015,6,Sun,2015-10-18,1,CHI,DET,-3.5,45.5
2015,6,Sun,2015-10-18,1,HOU,JAC,-3,43
2015,6,Sun,2015-10-18,1,CIN,BUF,-3,42
2015,6,Sun,2015-10-18,1,DEN,CLE,-3.5,42
2015,6,Mon,2015-10-19,8,NYG,PHI,-3.5,50.5
2015,7,Thu,2015-10-22,8,SEA,SF,-6.5,42
2015,7,Sun,2015-10-25,1,TB,WAS,-3,41.5
2015,7,Sun,2015-10-25,1,ATL,TEN,-6,45.5
2015,7,Sun,2015-10-25,1,MIN,DET,-1,45
2015,7,Sun,2015-10-25,1,NYJ,NE,-7,47.5
2015,7,Sun,2015-10-25,1,HOU,MIA,-4.5,45.5
2015,7,Sun,2015-10-25,1,PIT,KC,-3.5,41.5
2015,7,Sun,2015-10-25,1,CLE,STL,-6,44
2015,7,Sun,2015-10-25,8,BUF,JAC,-3.5,41.5
2015,7,Sun,2015-10-25,4,DAL,NYG,-3,44.5
2015,7,Sun,2015-10-25,8,PHI,CAR,-2.5,46
2015,7,Sun,2015-10-25,4,OAK,SD,-3.5,48.5
2015,7,Sun,2015-10-25,1,NO,IND,-5,53
2015,7,Mon,2015-10-26,8,BAL,ARI,-10,49.5
2015,8,Thu,2015-10-29,8,MIA,NE,-8,51.5
2015,8,Sun,2015-11-01,1,NYG,NO,-3,52
2015,8,Sun,2015-11-01,8,GB,DEN,-2.5,45.5
2015,8,Sun,2015-11-01,4,SEA,DAL,-5,41.5
2015,8,Sun,2015-11-01,4,NYJ,OAK,-3,44
2015,8,Sun,2015-11-01,1,TEN,HOU,-3.5,43
2015,8,Sun,2015-11-01,1,SD,BAL,-4.5,50.5
2015,8,Sun,2015-11-01,1,CIN,PIT,0,49.5
2015,8,Sun,2015-11-01,1,ARI,CLE,-7,46
2015,8,Sun,2015-11-01,1,SF,STL,-8,41
2015,8,Sun,2015-11-01,1,TB,ATL,-8,47.5
2015,8,Sun,2015-11-01,1,MIN,CHI,-1.5,44
2015,8,Sun,2015-11-01,9,KC,DET,-3,45
2015,8,Mon,2015-11-02,8,IND,CAR,-5.5,45.5
2015,9,Thu,2015-11-05,8,CLE,CIN,-13,46
2015,9,Sun,2015-11-08,4,DEN,IND,-3.5,45.5
2015,9,Sun,2015-11-08,4,NYG,TB,-2,49
2015,9,Sun,2015-11-08,4,ATL,SF,-8.5,43.5
2015,9,Sun,2015-11-08,1,GB,CAR,-2.5,46
2015,9,Sun,2015-11-08,1,STL,MIN,,
2015,9,Sun,2015-11-08,1,TEN,NO,-6.5,50
2015,9,Sun,2015-11-08,1,MIA,BUF,-4,44
2015,9,Sun,2015-11-08,1,JAC,NYJ,-8,42.5
2015,9,Sun,2015-11-08,1,OAK,PIT,-6,48
2015,9,Sun,2015-11-08,1,WAS,NE,-13.5,51.5
2015,9,Sun,2015-11-08,8,PHI,DAL,-3,44
2015,9,Mon,2015-11-09,8,CHI,SD,-3.5,49.5
2015,10,Thu,2015-11-12,8,BUF,NYJ,-2.5,42
2015,10,Sun,2015-11-15,8,ARI,SEA,-3,43.5
2015,10,Sun,2015-11-15,4,NE,NYG,-7,52.5
2015,10,Sun,2015-11-15,4,KC,DEN,-3.5,42
2015,10,Sun,2015-11-15,4,MIN,OAK,-3,44
2015,10,Sun,2015-11-15,1,JAC,BAL,-5,47
2015,10,Sun,2015-11-15,1,CLE,PIT,-7,43
2015,10,Sun,2015-11-15,1,DAL,TB,-1,43.5
