Position,Name,Salary,TeamAbbrev,AvgPointsPerGame,QBMatcher
QB,"Wilson, Russell",6800,SEA,11.5,0
QB,"Prescott, Dak",6000,DAL,7.88,0
QB,"Ryan, Matt",6700,ATL,9.64,0
QB,"Winston, Jameis",6200,TB,29.32,0
QB,"Brees, Drew",6600,NO,26.44,0
WR,"Evans, Mike",7300,TB,9,0
WR,"Godwin, Chris",7200,TB,40.4,0
WR,"Beckham Jr., Odell",7000,CLE,20.4,0
WR,"Cooper, Amari",6600,DAL,0,0
WR,"Chark, D.J.",6400,JAC,10.8,0
WR,"Jones, Marvin",6100,DET,9.6,0
WR,"Golladay, Kenny",6600,DET,10.1,0
WR,"McLaurin, Terry",6000,WAS,12.2,0
WR,"Boyd, Tyler",5000,CIN,23.1,2
WR,"Shepard, Sterling",4900,NYG,8.7,2
WR,"Anderson, Robby",4800,NYJ,18.6,2
WR,"Cobb, Randall",4800,DAL,12.6,2
WR,"Amendola, Danny",4400,DET,5.1,2
TE,"Cook, Jared",4500,NO,21.9,0
TE,"Olsen, Greg",4100,CAR,9.4,0
TE,"Brate, Cameron",3600,TB,0,0
TE,"Smith, Jonnu",3600,TEN,0.4,0
TE,"Harris, Demetrius",3200,CLE,4,0
RB,"McCaffrey, Christian",10500,CAR,34.3,0
RB,"Barkley, Saquon",7900,NYG,8,0
RB,"Henry, Derrick",6900,TEN,32.5,0
RB,"Bell, LeVeon",6400,NYJ,15.8,1
RB,"Murray, Latavius",6100,NO,12.4,1
RB,"Mixon, Joe",5900,CIN,7.9,1
RB,"Montgomery, David",5500,CHI,5.1,1
RB,"Singletary, Devin",5400,BUF,15.4,1
RB,"White, James",5300,NE,0.9,2
RB,"Lindsay, Phillip",5200,DEN,7.8,2
RB,"Sanders, Miles",5000,PHI,11.6,2
RB,"Jones, Ronald",4800,TB,15.7,2
RB,"Cohen, Tarik",4800,CHI,12.4,2
TE,"Graham, Jaeden",3300,ATL,6.3,1
WR,"Jones, Julio",8000,ATL,11.8,1
WR,"Ridley, Calvin",6500,ATL,22,1
WR,"Gage, Russell",3900,ATL,15.6,1
TE,"Witten, Jason",3500,DAL,1.5,1
WR,"Gallup, Michael",5900,DAL,9.5,1
WR,"Thomas, Michael",9300,NO,29.1,1
WR,"Ginn Jr., Ted",4000,NO,5.8,1
WR,"Smith, TreQuan",3400,NO,8.3,1
TE,"Hollister, Jacob",4300,SEA,4.2,1
WR,"Lockett, Tyler",7600,SEA,4.8,1
WR,"Metcalf, D.K.",6300,SEA,6.5,1
WR,"Gordon, Josh",4200,SEA,2,1
WR,"Perriman, Breshad",3200,TB,5.4,1
DEF,TB,2200,TB,16,0
DEF,DEN,2400,DEN,4,0
DEF,MIA,2000,MIA,-1,0
DEF,BUF,3400,BUF,13,0
DEF,TEN,3200,TEN,6,0
DEF,DAL,2300,DAL,6,0
DEF,SEA,2600,SEA,17,0
DEF,CIN,2100,CIN,6,0
DEF,PHI,2500,PHI,11,0
DEF,DET,3100,DET,8,0
