game_id,receiver_player_id,hv_plays,avg_rz_targets,hv_plays_moving_avg16,hv_plays_moving_avg8,hv_plays_moving_avg4
2019120802,00-0033611,1,1.00,1.44,1.38,1.50
2019090812,00-0033553,1,1.50,1.20,1.20,1.25
2019111706,00-0032741,1,1.11,1.00,1.00,1.00
2015091301,00-0027985,1,1.12,1.00,1.00,1.00
2012091604,00-0026189,1,1.43,1.69,1.25,1.00
2009111503,00-0027076,1,1.00,1.50,1.50,1.50
2011111306,00-0025549,1,1.80,1.50,1.25,1.50
2016101604,00-0027942,2,1.75,2.00,1.75,2.25
2012111100,00-0025418,3,1.79,1.13,1.13,1.25
2014101905,00-0030181,1,1.00,1.00,1.00,1.00
2014122111,00-0030089,3,1.67,1.00,1.00,1.00
2012101405,00-0026937,1,1.36,1.19,1.13,1.00
2015102510,00-0029262,2,1.64,1.88,2.00,2.75
2018091600,00-0027996,2,1.38,1.13,1.25,1.25
2017121008,00-0022921,1,1.91,1.88,2.13,2.25
2019092201,00-0031547,1,1.50,1.19,1.13,1.25
2012123013,00-0027135,1,1.38,1.36,1.50,1.75
2014102611,00-0029608,3,1.71,1.69,1.63,2.00
2018111807,00-0027061,1,1.55,1.63,1.88,2.00
2019111001,00-0031598,2,1.19,1.00,1.00,1.00
2011112800,00-0022929,2,1.25,1.27,1.25,1.25
2019120804,00-0032227,1,1.45,1.00,1.00,1.00
2009110801,00-0024272,1,1.60,1.75,1.75,1.75
2014112301,00-0027690,1,1.87,1.94,2.25,1.50
2015122400,00-0031166,1,1.67,1.67,1.67,1.75
2016101605,00-0025418,1,1.82,2.13,2.13,2.50
2011091805,00-0022921,2,2.26,1.63,1.75,1.50
2017102900,00-0033079,1,1.00,1.00,1.00,1.00
2010103106,00-0022811,2,1.57,1.86,1.86,1.75
2013091509,00-0024217,1,1.42,1.15,1.13,1.25
2013111000,00-0026224,1,1.39,1.56,1.50,1.75
2016091900,00-0029137,2,2.00,1.88,2.00,1.75
2019102701,00-0035243,1,2.00,2.00,2.00,2.00
2014120711,00-0028263,1,1.11,1.73,1.63,1.75
2011092510,00-0022084,1,1.63,1.75,1.75,1.50
2015121000,00-0029638,2,1.61,1.63,1.88,2.00
2018090911,00-0027874,2,2.00,1.38,1.25,1.50
2019102010,00-0031598,1,1.20,1.00,1.00,1.00
2018123011,00-0030780,1,1.00,1.00,1.00,1.00
2011091809,00-0027685,1,2.50,1.00,1.00,1.00
2010121909,00-0027696,2,1.00,1.00,1.00,1.00
2016121801,00-0030068,1,1.00,1.00,1.00,1.00
2018112503,00-0032257,1,1.18,1.38,1.38,1.50
2013121600,00-0025460,2,1.38,1.25,1.38,1.25
2009111900,00-0017915,1,1.00,1.00,1.00,1.00
2019121504,00-0031325,1,1.40,1.75,1.88,2.00
2017120306,00-0029854,1,1.50,1.00,1.00,1.00
2015122600,00-0026345,2,1.84,1.13,1.00,1.00
2019102711,00-0027150,3,1.84,1.56,1.50,1.25
2009100406,00-0020516,1,1.00,1.50,1.50,1.50
2014122811,00-0020498,1,1.65,1.81,2.00,1.50
2018112502,00-0033589,2,1.20,1.67,1.67,1.67
2012111100,00-0023630,1,1.21,1.38,1.13,1.25
2013120107,00-0006101,1,1.92,1.44,1.63,1.75
2010010314,00-0026191,1,1.00,1.50,1.50,1.50
2015102503,00-0027150,1,1.92,1.88,1.88,2.00
2009120612,00-0026373,1,1.50,1.00,1.00,1.00
2019111001,00-0034753,2,1.40,1.57,1.75,1.25
2018090907,00-0032209,1,1.27,1.00,1.00,1.00
2018122306,00-0033921,1,1.44,1.15,1.25,1.25
2013092904,00-0030550,1,2.00,1.50,1.50,1.50
2013112400,00-0028050,1,1.67,1.00,1.00,1.00
2019110302,00-0032764,1,1.14,1.00,1.00,1.00
2018122308,00-0033627,1,1.00,1.00,1.00,1.00
2014120711,00-0028903,1,1.00,1.00,1.00,1.00
2015110808,00-0030450,2,1.00,1.00,1.00,1.00
2012102805,00-0027944,2,1.58,2.08,2.25,2.25
2018122313,00-0030470,1,1.08,1.06,1.00,1.00
2018091609,00-0031236,4,1.35,1.81,2.00,2.25
2015101801,00-0026345,1,1.90,1.63,1.00,1.00
2015092703,00-0030564,2,1.72,1.69,2.25,2.00
2016102308,00-0030181,2,1.31,1.14,1.14,1.25
2018092309,00-0031941,1,1.59,1.50,1.75,2.00
2014112300,00-0028083,1,1.38,1.17,1.17,1.25
2012102800,00-0027155,1,1.00,1.00,1.00,1.00
2017120311,00-0032112,1,2.14,1.67,1.63,1.75
2014110300,00-0029608,2,1.67,1.75,1.75,2.00
2014122100,00-0026153,1,1.17,1.13,1.13,1.25
2015100412,00-0022127,1,1.46,1.44,1.25,1.00
2012102900,00-0024369,1,1.00,1.00,1.00,1.00
2013091511,00-0027135,2,1.47,1.31,1.38,1.50
2017100112,00-0031166,1,1.57,1.31,1.13,1.25
2018111104,00-0032209,1,1.33,1.00,1.00,1.00
2016111311,00-0027793,3,2.09,2.44,2.63,2.50
2016100208,00-0031408,1,1.46,1.81,1.88,1.75
2010122609,00-0021163,2,1.57,1.44,1.13,1.00
2012102100,00-0026201,1,1.43,1.20,1.20,1.25
2010102411,00-0025425,1,1.40,1.50,1.38,1.50
2012101406,00-0027902,2,1.56,1.88,2.00,2.00
2018091606,00-0033921,1,1.13,1.00,1.00,1.00
2012091606,00-0027873,1,1.50,1.31,1.13,1.00
2010121200,00-0027656,1,1.33,1.43,1.43,1.50
2018123015,00-0032211,2,1.14,1.31,1.38,1.25
2014092107,00-0023752,1,1.20,1.13,1.25,1.00
2017091004,00-0030107,1,1.74,1.44,1.38,1.50
2012092305,00-0026072,1,1.00,1.00,1.00,1.00
2009110807,00-0025414,2,1.00,1.50,1.50,1.50
2010091210,00-0024267,1,1.30,1.40,1.38,1.25
2017113000,00-0032760,1,1.50,1.14,1.14,1.25
2018092303,00-0030108,1,1.25,1.19,1.13,1.25
2013102702,00-0026213,1,1.30,1.25,1.25,1.25
2017101505,00-0029159,1,1.47,1.31,1.00,1.00
2019122102,00-0027685,1,1.69,2.06,1.88,2.25
2013120102,00-0023367,1,1.52,1.38,1.38,1.25
2011101610,00-0022427,1,1.88,1.94,2.75,4.25
2013122300,00-0006101,1,1.95,1.38,1.38,1.00
2011010200,00-0027150,2,1.25,1.00,1.00,1.00
2016110609,00-0031381,2,1.57,1.38,1.38,1.75
2019100300,00-0034159,2,1.40,2.25,2.25,2.25
2010091902,00-0027077,1,1.29,1.25,1.25,1.25
2009111200,00-0025418,1,2.50,1.60,1.60,1.75
2017102907,00-0031359,1,1.32,1.50,1.38,1.50
2013102009,00-0028017,1,1.00,1.10,1.13,1.25
2017091007,00-0031166,1,1.62,1.33,1.13,1.25
2010111411,00-0027057,1,1.00,1.00,1.00,1.00
2014091413,00-0022084,1,1.50,2.00,1.88,2.00
2010120506,00-0024267,3,1.41,1.63,1.75,2.25
2018091609,00-0033908,1,1.86,1.70,1.50,2.00
2012100800,00-0027109,1,1.13,1.25,1.25,1.25
2017091800,00-0029293,1,1.38,1.63,1.38,1.50
2016010300,00-0028050,1,1.50,1.14,1.14,1.25
2009112206,00-0026998,2,1.33,1.33,1.33,1.25
2014110207,00-0022084,2,1.49,1.81,1.50,1.00
2014122103,00-0024267,2,1.50,1.31,1.13,1.00
2016103005,00-0023500,1,1.46,1.19,1.25,1.25
2017102910,00-0031189,3,1.75,1.00,1.00,1.00
2016121102,00-0032257,1,1.23,1.18,1.25,1.25
2018121500,00-0034766,1,1.33,1.29,1.29,1.25
2012110100,00-0027912,2,1.50,1.60,1.60,1.75
2010092603,00-0011754,2,1.92,1.80,1.75,1.75
2017121003,00-0031381,2,1.89,1.69,1.38,1.75
2016100210,00-0028411,2,2.00,1.00,1.00,1.00
2019092205,00-0032160,1,1.47,1.50,1.50,1.25
2017092401,00-0032117,1,1.00,1.00,1.00,1.00
2011121102,00-0024240,1,1.68,1.38,1.13,1.25
2016111700,00-0027966,1,1.22,1.13,1.13,1.00
2019102002,00-0033681,1,1.20,1.67,2.00,1.75
2012101409,00-0024221,1,1.28,1.75,1.88,1.75
2019100700,00-0033308,1,1.00,1.13,1.13,1.25
2018121611,00-0033943,1,2.00,1.50,1.50,1.50
2019100700,00-0033288,1,1.75,1.69,1.75,1.75
2009120604,00-0027092,1,2.00,1.33,1.33,1.50
2010091905,00-0023921,2,2.00,2.09,2.13,2.50
2019110400,00-0031344,1,1.14,1.30,1.38,1.50
2016092511,00-0032160,1,2.00,1.00,1.00,1.00
2012102109,00-0026983,1,1.50,1.38,1.63,2.00
2019102700,00-0032392,2,1.61,1.44,1.50,1.75
2016091804,00-0030422,1,1.29,1.00,1.00,1.00
2018111102,00-0032392,1,1.47,1.42,1.38,1.25
2014102606,00-0030431,2,1.30,1.30,1.38,1.75
2010091910,00-0022736,1,1.14,1.00,1.00,1.00
2013091501,00-0028040,2,1.50,1.33,1.33,1.50
2013120803,00-0028091,1,1.29,1.67,1.50,1.50
2018111111,00-0030061,4,1.60,1.44,1.38,1.50
2018120904,00-0030108,1,1.37,1.19,1.13,1.25
2010091300,00-0020516,1,1.33,1.56,1.50,1.75
2011010214,00-0022921,2,2.05,1.56,1.75,1.75
2018120904,00-0030564,1,1.77,2.31,2.13,1.50
2014101300,00-0022084,2,1.51,1.81,1.50,1.50
2017110500,00-0032058,1,1.14,1.25,1.00,1.00
2011112400,00-0025389,2,2.11,2.00,1.88,1.50
2017121009,00-0027874,2,2.00,1.25,1.50,1.00
2017010114,00-0026995,1,1.64,1.56,1.25,1.25
2015100403,00-0026995,3,1.64,1.81,1.38,1.75
2013112408,00-0026163,1,1.17,1.14,1.14,1.25
2014111601,00-0026184,1,1.26,1.25,1.50,1.50
2013112802,00-0027685,1,1.50,1.19,1.25,1.00
2014102700,00-0028093,1,1.22,1.18,1.25,1.50
2017102902,00-0027942,1,1.76,1.63,1.63,1.50
2012110407,00-0029689,3,1.67,1.00,1.00,1.00
2010121905,00-0023921,2,1.65,2.19,2.25,2.00
2011090800,00-0025414,1,1.17,1.31,1.25,1.50
2019102005,00-0031387,2,1.34,1.44,1.50,1.25
2016102700,00-0031428,1,1.76,2.56,1.88,1.50
2015102600,00-0029614,1,1.07,1.31,1.13,1.00
2012101100,00-0026901,1,1.26,1.69,1.63,1.50
2011112004,00-0027996,4,1.25,1.50,1.50,1.50
2010102405,00-0026465,2,1.33,1.33,1.33,1.33
2015092100,00-0029608,1,1.65,1.88,2.38,2.00
2017010100,00-0032765,5,1.88,1.88,1.88,2.50
2013092200,00-0027996,2,1.24,1.69,1.88,2.25
2011111400,00-0022781,1,1.20,1.31,1.25,1.00
2019120800,00-0027944,1,1.94,2.00,1.75,1.50
2018111110,00-0032394,1,1.00,1.00,1.00,1.00
2012120906,00-0027944,2,1.71,2.00,2.00,1.75
2011110602,00-0024217,1,1.47,1.14,1.14,1.25
2013092209,00-0027218,1,1.38,1.00,1.00,1.00
2010120501,00-0024268,1,1.73,1.40,1.38,1.75
2014122801,00-0020337,2,1.57,1.44,1.88,1.75
2014101211,00-0030544,1,1.00,1.00,1.00,1.00
2016100900,00-0026189,1,1.48,1.50,1.50,1.75
2016010314,00-0029159,1,1.53,1.38,1.63,1.75
2012111106,00-0023462,2,1.81,2.06,2.00,2.25
2018110400,00-0032135,1,1.41,1.33,1.50,1.75
2014090702,00-0024334,1,2.05,1.75,1.88,1.75
2018111105,00-0033040,3,1.47,1.94,2.50,2.25
2012100400,00-0028007,1,1.00,1.00,1.00,1.00
2012100705,00-0028112,1,1.00,1.33,1.33,1.33
2015122712,00-0023465,1,1.74,1.19,1.13,1.00
2016122500,00-0031782,2,2.00,1.80,1.80,1.75
2014112306,00-0027891,2,1.37,1.69,1.63,2.00
2017110504,00-0030091,1,1.00,1.00,1.00,1.00
2016110601,00-0026901,1,1.42,1.31,1.25,1.25
2011091104,00-0026364,1,1.80,1.67,1.75,1.75
2015120604,00-0024389,2,1.48,1.63,2.00,1.50
2009122100,00-0020494,1,1.88,1.30,1.00,1.00
