Position,Name,Salary,TeamAbbrev,AvgPointsPerGame,QBMatcher
DEF,TEN,2600,TEN,11,0
DEF,NE,3700,NE,25,0
DEF,CAR,2300,CAR,14,0
DEF,DEN,2900,DEN,5,0
DEF,TB,2100,TB,15,0
DEF,MIA,2000,MIA,0,0
DEF,LAC,3800,LAC,11,0
DEF,BUF,2600,BUF,3,0
DEF,IND,3100,IND,3,0
DEF,ATL,2900,ATL,0,0
QB,"Goff, Jared",6300,LA,27.68,0
QB,"Jackson, Lamar",6900,BAL,26.48,0
QB,"Mahomes II, Patrick",7500,KC,21,0
QB,"Watson, Deshaun",6400,HOU,12.6,0
QB,"Mayfield, Baker",5800,CLE,19.78,0
QB,"Rivers, Philip",6200,LAC,23.4,0
RB,"McCaffrey, Christian",8800,CAR,33.9,0
RB,"Gurley, Todd",7000,LA,26,0
RB,"Ingram, Mark",6600,BAL,9.1,0
RB,"Johnson, David",6800,ARI,21.9,0
RB,"Henry, Derrick",6300,TEN,14.8,0
RB,"Cook, Dalvin",8300,MIN,19,0
RB,"Michel, Sony",5500,NE,6.3,0
RB,"Cohen, Tarik",4600,CHI,9.8,0
RB,"Peterson, Adrian",4300,WAS,2.8,0
RB,"Mack, Marlon",6100,IND,3.9,0
RB,"Chubb, Nick",6400,CLE,42.3,0
RB,"Fournette, Leonard",6000,JAC,29.5,0
RB,"Ekeler, Austin",8000,LAC,29.2,0
RB,"Lindsay, Phillip",5200,DEN,7,0
RB,"White, James",4900,NE,13.8,0
RB,"Gore, Frank",4400,BUF,13.9,2
RB,"Smith, Ito",3700,ATL,11.1,2
RB,"Freeman, Royce",4800,DEN,9,2
RB,"Chubb, Nick",6400,CLE,42.3,2
RB,"Ekeler, Austin",8000,LAC,29.2,2
RB,"White, James",4900,NE,13.8,2
RB,"Yeldon, T.J.",3700,BUF,10.8,2
RB,"Fournette, Leonard",6000,JAC,29.5,2
RB,"Johnson, Duke",4200,HOU,9.8,2
RB,"Richard, Jalen",4000,OAK,2.8,2
TE,"Kelce, Travis",7200,KC,15.5,0
TE,"Olsen, Greg",4200,CAR,2.5,0
TE,"Waller, Darren",5200,OAK,12.3,0
TE,"Ebron, Eric",4000,IND,11.8,0
TE,"Engram, Evan",5700,NYG,9.4,0
TE,"Hurst, Hayden",3300,BAL,5.9,0
TE,"LaCosse, Matt",2700,NE,0,0
TE,"Davis, Vernon",3400,WAS,1.5,0
WR,"Allen, Keenan",7600,LAC,9.8,0
WR,"Hopkins, DeAndre",7700,HOU,8.1,0
WR,"Jones, Julio",7800,ATL,9.3,0
WR,"Evans, Mike",7100,TB,18.9,0
WR,"Watkins, Sammy",6700,KC,7.4,0
WR,"Diggs, Stefon",5500,MIN,19.8,0
WR,"Ridley, Calvin",5000,ATL,6.2,0
WR,"Beckham Jr., Odell",7300,CLE,4,0
WR,"Thielen, Adam",6600,MIN,2.6,0
WR,"Stills, Kenny",4200,HOU,4.4,0
WR,"Kupp, Cooper",6500,LA,29.9,0
WR,"Cooks, Brandin",6200,LA,13.1,0
WR,"Samuel, Curtis",4600,CAR,6.3,2
WR,"Roberts, Seth",3000,BAL,7.6,2
WR,"Snead, Willie",4400,BAL,14.1,2
WR,"Kirk, Christian",5100,ARI,8.3,2
WR,"Inman, Dontrelle",3000,LAC,12.6,2
WR,"Sanu, Mohamed",4100,ATL,18.1,2
WR,"Perriman, Breshad",3200,TB,0,2
WR,"Gordon, Josh",5900,NE,7.6,2
WR,"Quinn, Trey",3000,WAS,3,2
WR,"Edelman, Julian",6500,NE,7,2
TE,"Andrews, Mark",5000,BAL,13.1,1
WR,"Brown, Marquise",5800,BAL,6.2,1
WR,"Moore, Chris",3400,BAL,0,1
TE,"Seals-Jones, Ricky",2800,CLE,17.2,1
WR,"Landry, Jarvis",5100,CLE,27.7,1
WR,"Ratley, Damion",3500,CLE,2,1
TE,"Akins, Jordan",3100,HOU,5.1,1
WR,"Fuller, Will",4500,HOU,5.3,1
WR,"Robinson, Demarcus",5200,KC,7.5,1
WR,"Hardman, Mecole",5100,KC,1.9,1
TE,"Everett, Gerald",3200,LA,15.4,1
WR,"Cooks, Brandin",6200,LA,13.1,1
TE,"Kendricks, Lance",2600,LAC,5.7,1
WR,"Davis, Geremy",3000,LAC,4.5,1
